GID_0,GID_1,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,AFG.14_1,TROF,0,0,0,0,0,0.0028737069827913073,0.0028737069827913073,0.0028737069827913073,0.0028737069827913073,0.0028737069827913073,0,0,0,0,0
AFG,AFG.16_1,TROF,0,0,0,0,0,0.1536945416492534,0.1536945416492534,0.1536945416492534,0.1536945416492534,0.1536945416492534,0,0,0,0,0
AFG,AFG.18_1,TROF,2.5270791682189387e-4,1.516247500931363e-4,5.054158336437877e-5,0,0,19.57895744136184,19.57895744136184,19.57895744136184,19.57895744136184,19.57895744136184,1.291e-5,7.744e-6,2.581e-6,0,0
AFG,AFG.19_1,TROF,0.012841795497937307,0.010698790913307672,0.008784757081817056,0.006870723250326429,0.0049566894188358135,143.7985894890982,143.7985894890982,143.7985894890982,143.7985894890982,143.7985894890982,8.93e-5,7.44e-5,6.109e-5,4.778e-5,3.447e-5
AFG,AFG.1_1,TROF,0,0,0,0,0,28.743244009664135,28.743244009664135,28.743244009664135,28.743244009664135,28.743244009664135,0,0,0,0,0
AFG,AFG.20_1,TROF,0,0,0,0,0,1.29051103082778,1.29051103082778,1.29051103082778,1.29051103082778,1.29051103082778,0,0,0,0,0
AFG,AFG.21_1,TROF,0,0,0,0,0,5.5677255949299695,5.5677255949299695,5.5677255949299695,5.5677255949299695,5.5677255949299695,0,0,0,0,0
AFG,AFG.24_1,TROF,0.01172007790630281,0.0101856098560216,0.00865114180574039,0.00711667375545918,0.00558220570517798,1.0791256805937233,1.0791256805937233,1.0791256805937233,1.0791256805937233,1.0791256805937233,0.01086,0.009439,0.008017,0.006595,0.005173
AFG,AFG.28_1,TROF,0,0,0,0,0,3.6516422047398542,3.6516422047398542,3.6516422047398542,3.6516422047398542,3.6516422047398542,0,0,0,0,0
AFG,AFG.2_1,TROF,0.002725136216258566,4.2764040590853787e-4,3.12500231951417e-4,2.531655587391625e-4,2.048352241286637e-4,6.38761753975692,6.38761753975692,6.38761753975692,6.38761753975692,6.38761753975692,4.266e-4,6.695e-5,4.892e-5,3.963e-5,3.207e-5
AFG,AFG.30_1,TROF,0,0,0,0,0,1.775419038166973,1.775419038166973,1.775419038166973,1.775419038166973,1.775419038166973,0,0,0,0,0
AFG,AFG.31_1,TROF,0.06218637511863442,0.0543924294774849,0.04663503861513088,0.03908789493978902,0.03661433047307514,1543.848065180378,1543.848065180378,1543.848065180378,1543.848065180378,1543.848065180378,4.028e-5,3.523e-5,3.021e-5,2.532e-5,2.372e-5
AFG,AFG.33_1,TROF,0,0,0,0,0,0.12211979292503751,0.12211979292503751,0.12211979292503751,0.12211979292503751,0.12211979292503751,0,0,0,0,0
AFG,AFG.3_1,TROF,8.965746243717088e-5,9.037493444175296e-4,8.499204672361752e-4,7.960915900548208e-4,0.017104889879832327,102.68301394893402,102.68301394893402,102.68301394893402,102.68301394893402,102.68301394893402,8.731e-7,8.801e-6,8.277e-6,7.753e-6,1.666e-4
AFG,AFG.8_1,TROF,0,0,0,0,0,10.20549779306817,10.20549779306817,10.20549779306817,10.20549779306817,10.20549779306817,0,0,0,0,0
AGO,AGO.10_1,TROF,70.61303144299612,67.71873543895833,62.73830017581182,57.32634725293789,51.28318280254617,15790.298228924032,15790.298228924032,15790.298228924032,15790.298228924032,15790.298228924032,0.004472,0.004289,0.003973,0.00363,0.003248
AGO,AGO.11_1,TROF,1.9076932878285764,1.6412424041127054,1.38232854639305,1.1279331439639804,0.8767296333844694,1277.7047944524866,1277.7047944524866,1277.7047944524866,1277.7047944524866,1277.7047944524866,0.001493,0.001285,0.001082,8.828e-4,6.862e-4
AGO,AGO.12_1,TROF,419.4182529030158,379.7387689603402,337.21558855536085,297.9593671659906,254.19234484846226,20045.053683003247,20045.053683003247,20045.053683003247,20045.053683003247,20045.053683003247,0.02092,0.01894,0.01682,0.01486,0.01268
AGO,AGO.13_1,TROF,34.79493392103182,30.562524557538087,26.351540582162272,22.87914457493006,19.845025698319652,6133.692039358012,6133.692039358012,6133.692039358012,6133.692039358012,6133.692039358012,0.005673,0.004983,0.004296,0.00373,0.003235
AGO,AGO.14_1,TROF,113.13373395019957,108.06996515679585,101.95139160706461,94.70799737010248,86.98998559678753,32964.963657358174,32964.963657358174,32964.963657358174,32964.963657358174,32964.963657358174,0.003432,0.003278,0.003093,0.002873,0.002639
