GID_0,GID_1,GID_2,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,AFG.18_1,AFG.18.1_1,OOIL,0.00188329402479934,0.001634893097314,0.00138649216982865,0.00118339847445561,0.00102561201119486,0.0832883819044884,0.0832883819044884,0.0832883819044884,0.0832883819044884,0.0832883819044884,0.02261,0.01963,0.01665,0.01421,0.01231
AFG,AFG.19_1,AFG.19.2_1,OOIL,0,0,0,0,0,7.109150347570896,7.109150347570896,7.109150347570896,7.109150347570896,7.109150347570896,0,0,0,0,0
AFG,AFG.19_1,AFG.19.3_1,OOIL,0.0070455438084714534,0.00641948930388563,0.00580810937018224,0.00519672943647884,0.00458534950277545,1.7871745150986327,1.7871745150986327,1.7871745150986327,1.7871745150986327,1.7871745150986327,0.003942,0.003592,0.00325,0.002908,0.002566
AFG,AFG.19_1,AFG.19.4_1,OOIL,0.002489728293512474,0.0022940712828696977,0.0020984142722269214,0.0019027572615841414,0.0017071002509413684,24.052476428486322,24.052476428486322,24.052476428486322,24.052476428486322,24.052476428486322,1.035e-4,9.538e-5,8.724e-5,7.911e-5,7.097e-5
AFG,AFG.19_1,AFG.19.5_1,OOIL,0,0,0,0,0,0.12532238159110945,0.12532238159110945,0.12532238159110945,0.12532238159110945,0.12532238159110945,0,0,0,0,0
AFG,AFG.19_1,AFG.19.6_1,OOIL,0,0,0,0,0,0.375134116240366,0.375134116240366,0.375134116240366,0.375134116240366,0.375134116240366,0,0,0,0,0
AFG,AFG.19_1,AFG.19.7_1,OOIL,0,0,0,0,0,0.6252231814098039,0.6252231814098039,0.6252231814098039,0.6252231814098039,0.6252231814098039,0,0,0,0,0
AFG,AFG.1_1,AFG.1.7_1,OOIL,0,0,0,0,0,0.6180370497446642,0.6180370497446642,0.6180370497446642,0.6180370497446642,0.6180370497446642,0,0,0,0,0
AFG,AFG.22_1,AFG.22.14_1,OOIL,0,0,0,0,0,0.017229316641755598,0.017229316641755598,0.017229316641755598,0.017229316641755598,0.017229316641755598,0,0,0,0,0
AFG,AFG.22_1,AFG.22.17_1,OOIL,0,0,0,0,5.308057201767686e-4,0.3123447003375077,0.3123447003375077,0.3123447003375077,0.3123447003375077,0.3123447003375077,0,0,0,0,0.001699
AFG,AFG.22_1,AFG.22.19_1,OOIL,0,0,0,0,0,0.08396256317600058,0.08396256317600058,0.08396256317600058,0.08396256317600058,0.08396256317600058,0,0,0,0,0
AFG,AFG.22_1,AFG.22.20_1,OOIL,0,0,0,0.00704737301245293,0.00668596926822457,0.045976253530628376,0.045976253530628376,0.045976253530628376,0.045976253530628376,0.045976253530628376,0,0,0,0.1533,0.1454
AFG,AFG.22_1,AFG.22.2_1,OOIL,0,0,0,0,0,0.5904228777950141,0.5904228777950141,0.5904228777950141,0.5904228777950141,0.5904228777950141,0,0,0,0,0
AFG,AFG.22_1,AFG.22.8_1,OOIL,0,0,0,0,0,0.043162355571287225,0.043162355571287225,0.043162355571287225,0.043162355571287225,0.043162355571287225,0,0,0,0,0
