GID_0,GID_1,GID_2,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AGO,AGO.12_1,AGO.12.4_1,ORTS,0,0,0,0,0,0.02881511275156662,0.02881511275156662,0.02881511275156662,0.02881511275156662,0.02881511275156662,0,0,0,0,0
AGO,AGO.17_1,AGO.17.12_1,ORTS,0.009758635234280728,0.008569646629087328,0.007460818466394913,0.0063844275206604096,0.0053404737918837895,0.014076242599818134,0.014076242599818134,0.014076242599818134,0.014076242599818134,0.014076242599818134,0.6933,0.6088,0.53,0.4536,0.3794
AGO,AGO.17_1,AGO.17.7_1,ORTS,0.002410905465693229,0.014225768745498553,0.012883106090237174,0.020098094714788517,0.018786004978708255,15.93866789899763,15.93866789899763,15.93866789899763,15.93866789899763,15.93866789899763,1.513e-4,8.925e-4,8.083e-4,0.001261,0.001179
AGO,AGO.18_1,AGO.18.1_1,ORTS,0.0022575576722429743,0.0011841607106349615,3.9472023687832055e-4,0,0,9.756510953257424,9.756510953257424,9.756510953257424,9.756510953257424,9.756510953257424,2.314e-4,1.214e-4,4.046e-5,0,0
AGO,AGO.4_1,AGO.4.1_1,ORTS,0.03581946058281936,0.05694503979471858,0.05292096045867398,0.0514246857272467,0.05157281256449046,7.207596554496504,7.207596554496504,7.207596554496504,7.207596554496504,7.207596554496504,0.00497,0.007901,0.007342,0.007135,0.007155
AGO,AGO.5_1,AGO.5.1_1,ORTS,0,0,0,0,0,371.5076452929536,371.5076452929536,371.5076452929536,371.5076452929536,371.5076452929536,0,0,0,0,0
AGO,AGO.5_1,AGO.5.2_1,ORTS,0,0,0,0,0,381.332374458179,381.332374458179,381.332374458179,381.332374458179,381.332374458179,0,0,0,0,0
AGO,AGO.5_1,AGO.5.5_1,ORTS,4.925292278480711e-5,4.6267897161485466e-5,4.328287153816383e-5,4.0297845914842186e-5,3.731282029152054e-5,166.72139869439306,166.72139869439306,166.72139869439306,166.72139869439306,166.72139869439306,2.954e-7,2.775e-7,2.596e-7,2.417e-7,2.238e-7
ARG,ARG.17_1,ARG.17.18_1,ORTS,0,1.1865229301036272e-5,1.1256756003547232e-5,1.0648282706058194e-5,1.0039809408569154e-5,0.0731100081338148,0.0731100081338148,0.0731100081338148,0.0731100081338148,0.0731100081338148,0,1.623e-4,1.54e-4,1.456e-4,1.373e-4
ARG,ARG.17_1,ARG.17.23_1,ORTS,1.81622681795765e-4,1.4860037601471682e-4,1.1557807023366862e-4,8.255576445262045e-5,4.953345867157227e-5,0.002391882700389806,0.002391882700389806,0.002391882700389806,0.002391882700389806,0.002391882700389806,0.07593,0.06213,0.04832,0.03451,0.02071
ARG,ARG.17_1,ARG.17.8_1,ORTS,0.03370795397377631,0.02947824839016216,0.025808242526293063,0.022539970519941083,0.018329020683741176,1.1884148662657463,1.1884148662657463,1.1884148662657463,1.1884148662657463,1.1884148662657463,0.02836,0.0248,0.02172,0.01897,0.01542
ATG,ATG.1_1,NA,ORTS,3.620797743707462e-4,3.1015300938149663e-4,2.5822624439224707e-4,2.062994794029975e-4,1.5437271441374797e-4,0.029043686001507033,0.029043686001507033,0.029043686001507033,0.029043686001507033,0.029043686001507033,0.01247,0.01068,0.008891,0.007103,0.005315
