GID_0,GID_1,GID_2,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AGO,AGO.10_1,AGO.10.11_1,OILP,209.9243348298132,289.7680959533612,301.87875890220676,443.11950305930793,520.1904237626927,271.0334264196306,270.3013003833834,270.5568738852199,270.8124570153529,270.6183011522636,0.7745,1.072,1.116,1.636,1.922
AGO,AGO.10_1,AGO.10.6_1,OILP,15.75122705416388,33.733760914435365,31.804916448894197,35.03232514081859,34.893423000909316,13.015611706969954,12.98045343024285,12.992726622912981,13.005000277954752,12.995676493217259,1.21,2.599,2.448,2.694,2.685
AGO,AGO.10_1,AGO.10.8_1,OILP,58.316088267122566,64.53138720476095,60.380824330711164,81.35472653316542,91.47715634487069,90.105677525754,89.86228056397792,89.94724655450099,90.03221574597309,89.96766818879402,0.6472,0.7181,0.6713,0.9036,1.017
AGO,AGO.12_1,AGO.12.4_1,OILP,0,0,0,0,0,0.07722450217419854,0.07759362326918212,0.07923819484067103,0.080592448817562,0.07977864156966835,0,0,0,0,0
AGO,AGO.17_1,AGO.17.7_1,OILP,220.54129542111468,287.3197430755144,279.81678994581887,336.9652484514869,313.99493283815497,86.05348101237664,86.46480325135701,88.29739659305808,89.80648069985415,88.89963190727303,2.563,3.323,3.169,3.752,3.532
AGO,AGO.18_1,AGO.18.1_1,OILP,6.825476642545725,5.842703426442519,6.321954602163171,5.088372243591409,4.17445694335341,32.37494312375684,32.52969031045822,33.21914650105688,33.78689241385107,33.445718788609355,0.2108,0.1796,0.1903,0.1506,0.1248
AGO,AGO.4_1,AGO.4.1_1,OILP,626.8359420832534,619.8580182969166,624.6852294139021,785.707766744792,779.0923171933532,78.38944756385368,77.87940433785377,78.18850960354551,78.49761486923727,78.35911518134037,7.996,7.959,7.989,10.01,9.943
AGO,AGO.5_1,AGO.5.2_1,OILP,2.313562159238458,1.962228295499281,1.6108944317601033,1.259560568020926,0.9082267042817485,7.095651387079281,7.076484337489718,7.083175248263206,7.089866411105367,7.08478341327208,0.3261,0.2773,0.2274,0.1777,0.1282
AGO,AGO.5_1,AGO.5.3_1,OILP,0.535993437661194,0.45353290879024105,0.37107237991928815,0.2886118510483352,0.2061513221773823,5.866893222988044,5.851045342757281,5.856577584539068,5.862110034738646,5.857907262658428,0.09136,0.07751,0.06336,0.04923,0.03519
AGO,AGO.5_1,AGO.5.7_1,OILP,15.626898710072002,13.595885878609067,11.564873047146136,9.533860215683202,7.502847384220271,2.565229240671747,2.558299943644263,2.56071885052491,2.563137848533755,2.561300236458286,6.092,5.314,4.516,3.72,2.929
AGO,AGO.8_1,AGO.8.1_1,OILP,465.34664416452966,590.233131201186,554.3731817460364,534.8169777132513,533.5274228307416,993.0314685965869,990.3490533588194,991.2854416604974,992.2218652390104,991.5105032331976,0.4686,0.596,0.5592,0.539,0.5381
AGO,AGO.8_1,AGO.8.2_1,OILP,575.3841772674825,560.0902723780919,538.6058622109185,572.3483245559834,687.3774437161096,12554.676606502859,12520.763425602236,12532.601975212649,12544.440970820258,12535.447378758412,0.04583,0.04473,0.04298,0.04563,0.05483
AGO,AGO.8_1,AGO.8.3_1,OILP,4.1393842913606935,3.6382345925925366,3.1370848938243796,2.6359351950562226,2.1347854962880657,0.23562941426925374,0.23499292292805252,0.2352151118858353,0.23543730921420875,0.23526851515474154,17.57,15.48,13.34,11.2,9.074
AGO,AGO.8_1,AGO.8.4_1,OILP,6521.251251028353,7332.698844724991,7726.687953478798,8535.906835507192,8563.216364639424,17783.40239471242,17735.365176284344,17752.13420173122,17768.90385892257,17756.16464853727,0.3667,0.4135,0.4353,0.4804,0.4823
AGO,AGO.8_1,AGO.8.5_1,OILP,138.60679982277705,117.91507219211483,97.22334456145262,76.53161693079039,55.864328790590854,2668.198163065663,2660.9907223789082,2663.5067247670145,2666.0228219412265,2664.111447672426,0.05195,0.04431,0.0365,0.02871,0.02097
AGO,AGO.8_1,AGO.8.6_1,OILP,2282.1453844347247,4371.4909488112635,4303.968518943398,5058.459650232245,5394.418160263153,38710.672692986795,38606.105917834495,38642.60850834256,38679.11247402357,38651.38193109106,0.05895,0.1132,0.1114,0.1308,0.1396
BDI,BDI.10_1,BDI.10.1_1,OILP,1.7202250004865485,1.59283669005153,2.256071358207673,4.493389610536268,5.4476321595504045,896.4484907016683,883.5740436657146,882.6368321250962,881.699620584478,882.4812550093546,0.001919,0.001803,0.002556,0.005096,0.006173
