GID_0,GID_1,GID_2,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,AFG.19_1,AFG.19.4_1,RAPE,0.01600496829103301,0.0120122214261053,0.00858015816150378,0.00514809489690227,0.00171603163230075,0.0011972173031979932,0.0014325481853151559,0.0015639894204439882,0.0016166734328882646,0.001556007792558681,13.37,8.385,5.486,3.184,1.103
AFG,AFG.31_1,AFG.31.4_1,RAPE,0.015090960526038498,0.012366713918375061,0.010091952440913099,0.00802415464702369,0.0060717351445953305,0.013313671156802178,0.015930671403272836,0.017392365430142227,0.017978238700625662,0.017303605629663994,1.133,0.7763,0.5803,0.4463,0.3509
ALA,ALA.2_2,ALA.2.2_2,RAPE,18.941389122427026,17.28590951430818,16.148460542183855,14.654461386734202,13.628973337675095,0.9205898984717172,1.2190716489723479,1.6793665982082067,1.2010266670292968,1.375495610313502,20.58,14.18,9.616,12.2,9.908
ALA,ALA.2_2,ALA.2.3_2,RAPE,1.6451497930289385,1.442032096114196,1.2393719979557942,1.0409672349351689,0.8468178070523198,0.40532067194623367,0.5367373036922972,0.739397639665414,0.5287923933488781,0.6056082148597373,4.059,2.687,1.676,1.969,1.398
ALA,ALA.2_2,ALA.2.4_2,RAPE,9.362428658464532,10.342763531224401,11.885634040566684,12.61180386992035,11.693699766736557,0.7885795823403874,1.0442597875400823,1.4385495787102762,1.028802411408089,1.1782529394388983,11.87,9.904,8.262,12.26,9.925
ALA,ALA.2_2,ALA.2.5_2,RAPE,0.44421127561678647,0.3866880019004151,0.32916472818404363,0.2716414544676722,0.2141181807513008,0.03161624766989363,0.0418671454523238,0.057675269287270604,0.041247418232573316,0.04723928641485005,14.05,9.236,5.707,6.586,4.533
ALA,ALA.2_2,ALA.2.7_2,RAPE,12.530411645040603,11.071187815502851,9.616149544248888,8.162479459072985,6.709929894832354,0.153488886256476,0.20325440239811615,0.2799988455263542,0.20024578348370584,0.22933478808335778,81.64,54.47,34.34,40.76,29.26
ALB,ALB.2_1,ALB.2.2_1,RAPE,0.00104838638464148,6.290318307848917e-4,2.0967727692829723e-4,0,0,0.0157325331631348,0.05300491038854812,0.02924772943750564,0.02977566679197325,0.03512018780619068,0.06664,0.01187,0.007169,0,0
ALB,ALB.7_1,ALB.7.1_1,RAPE,0,0,0,0,0,0.0989366953250185,0.1004928188442034,0.2032788723482582,0.13497323997982658,0.1604702419404332,0,0,0,0,0
ALB,ALB.7_1,ALB.7.3_1,RAPE,0,0,0,0,0,0.0014381688544267965,0.004845374261223167,0.002673642769639078,0.002721903469452058,0.0032104658379387787,0,0,0,0,0
ARG,ARG.11_1,ARG.11.18_1,RAPE,0.013522352194663174,0.009417321271169258,0.007132614903573433,0.005588820452381073,0.004216936865456375,0.0032308742793624823,0.0017755201335931854,0.005258095358690587,0.003875280372173754,0.00433315039394503,4.185,5.304,1.357,1.442,0.9732
ARG,ARG.11_1,ARG.11.19_1,RAPE,0.09770259057267769,0.06643511435450725,0.03935371160902168,0.013407206858117457,5.007017399780114e-4,0.003230875248641971,0.0017755206662586804,0.005258096936147195,0.0038752815347785022,0.004333151693913223,30.24,37.42,7.484,3.46,0.1156
ARG,ARG.11_1,ARG.11.6_1,RAPE,0.11798263413267711,0.09162043807939771,0.07040806668690579,0.06001333950466116,0.046467343383430594,0.42594058670306334,0.23407474943748344,0.6931981960199483,0.5108955201092689,0.5712585701210706,0.277,0.3914,0.1016,0.1175,0.08134
ARG,ARG.14_1,ARG.14.11_1,RAPE,3.199990966822043,2.696822654589457,2.228903423300258,1.7888044042029334,1.3627465213250132,5.670582990328804,5.187667299278089,3.99373135817318,5.7343069019585275,5.227911231362994,0.5643,0.5199,0.5581,0.3119,0.2607
ARG,ARG.14_1,ARG.14.12_1,RAPE,1.037778046097049,0.7990997908225261,0.5953057302622565,0.42639586441623967,0.2644688260680999,1.7870359698567362,1.6348491996802517,1.258590448843151,1.8071180182839446,1.647531732380479,0.5807,0.4888,0.473,0.236,0.1605
ARG,ARG.14_1,ARG.14.13_1,RAPE,0.7084789372907329,0.4727459076070178,0.2483416089968982,0.09928067517502646,0.02959518595175334,0.08775887639446463,0.1531791297067019,0.23455554236338727,0.28401963633117644,0.2541465148065007,8.073,3.086,1.059,0.3496,0.1164
ARG,ARG.14_1,ARG.14.14_1,RAPE,5.579929768473797,4.385498378734257,3.2445554508119083,2.226069878514747,1.3707405678759266,9.89847055018151,9.0555013609043975,6.971387651258306,10.00970589647394,9.125750465316647,0.5637,0.4843,0.4654,0.2224,0.1502
ARG,ARG.14_1,ARG.14.15_1,RAPE,2.9815553607402845,3.370405868591205,3.276555068590201,3.324185304381367,3.534198575941305,0.37840429709958845,0.6604875003920089,1.0113714849752637,1.2246539069768498,1.09584508424415,7.879,5.103,3.24,2.714,3.225
ARG,ARG.14_1,ARG.14.16_1,RAPE,0,0,0,0,0,5.542499789472282e-4,9.674181450715256e-4,0.0014813590346407738,0.0017937544773201203,0.0016050877844864843,0,0,0,0,0
ARG,ARG.14_1,ARG.14.17_1,RAPE,2.821119332582643,1.9445925703259752,1.1917616798988746,0.6052400302734547,0.18813276214859095,0.0022797286200719417,0.003979162682307389,0.006093092857283189,0.007378030806778285,0.006602011184505797,1237,488.7,195.6,82.03,28.5
ARG,ARG.14_1,ARG.14.3_1,RAPE,0.8720470462229575,0.7897988607922992,0.707550675361641,0.6253024899309826,0.5430543045003242,0.4724687052472316,0.4322325334667576,0.3327546897945918,0.47777813358508203,0.4355856275875281,1.846,1.827,2.126,1.309,1.247
ARG,ARG.14_1,ARG.14.5_1,RAPE,0.1573197409022437,0.11232071157358817,0.0702821337857485,0.03360871853041304,0.00876323074777714,0.06987611849087728,0.12196558863862218,0.1867598076028902,0.226144528934112,0.20235869819981736,2.251,0.9209,0.3763,0.1486,0.04331
ARG,ARG.14_1,ARG.14.6_1,RAPE,79.86254853501579,84.1600980264058,79.51215085585505,74.65482544822761,71.0963387360276,3.9629782287637094,3.625484822313909,2.7910834654857086,4.007512710468847,3.653609942246784,20.15,23.21,28.49,18.63,19.46
ARG,ARG.14_1,ARG.14.8_1,RAPE,1.5530910575824861,1.162032891134305,0.8056760797901406,0.4830200112584273,0.2679882915892319,0.3143782143080278,0.5487328831558304,0.8402472273323653,1.0174422208514353,0.910427876700983,4.94,2.118,0.9589,0.4747,0.2944
ARG,ARG.14_1,ARG.14.9_1,RAPE,78.86591315044522,78.33524268335547,75.57602529879465,70.080750430064,64.6679325412314,5.480236575720238,5.013531082193569,3.8596724005255134,5.541821444834538,5.05242413233297,14.39,15.62,19.58,12.65,12.8
ARG,ARG.16_1,ARG.16.1_1,RAPE,0.01360123797161656,0.01195430749194151,0.01030737701226646,0.0086604465325914,0.00701351605291634,0.6498800430300149,0.3571402044922281,1.0576490889134909,0.7795002705950529,0.8715993632002859,0.02093,0.03347,0.009746,0.01111,0.008047
ARG,ARG.17_1,ARG.17.19_1,RAPE,5.342443865381602,5.801224613993062,5.50108629141227,5.019625724824803,4.657836920814314,0.0496535883937757,0.04542501136858739,0.03497049480666315,0.050211577031681186,0.04577740117445021,107.6,127.7,157.3,99.97,101.7
ARG,ARG.19_1,ARG.19.7_1,RAPE,7.612459960975485e-4,6.887463774215914e-4,6.162467587456344e-4,5.437471400696776e-4,4.7124752139372046e-4,0.23317792085598618,0.12814243371639172,0.379486057762641,0.2796858502633513,0.3127311409392789,0.003265,0.005375,0.001624,0.001944,0.001507
ARG,ARG.1_1,ARG.1.100_1,RAPE,31.507330859863483,29.66459891379919,28.58966377011747,26.707557629059192,24.825451488000915,1.2819548178108424,0.7044955614395071,2.086320944345843,1.5376439669005673,1.719318841744866,24.58,42.11,13.7,17.37,14.44
ARG,ARG.1_1,ARG.1.101_1,RAPE,0.2507937987308972,0.2214093246457858,0.1920248505606744,0.162640376475563,0.13325590239045162,2.7487320823769754,1.5105599079753886,4.473431695238287,3.296973687661304,3.6865159321369054,0.09124,0.1466,0.04293,0.04933,0.03615
ARG,ARG.1_1,ARG.1.102_1,RAPE,0.402205976706915,0.34392558482749697,0.28564519294807894,0.22736480106866092,0.1690844091892429,1.474386521267036,0.810245997477991,2.3994944569368646,1.7684566630649299,1.9774023942262864,0.2728,0.4245,0.119,0.1286,0.08551
ARG,ARG.1_1,ARG.1.104_1,RAPE,3.3151789253463297,2.939023939598112,2.660288402771117,2.3064946254176943,2.1023440140951175,23.591672335244393,12.964753684140579,38.39433295255758,28.29709138839257,31.64043396125511,0.1405,0.2267,0.06929,0.08151,0.06644
ARG,ARG.1_1,ARG.1.105_1,RAPE,1.6860045663977583,1.4694295727646678,1.524076540995102,1.2935927288049078,1.0631089166147134,17.39966605072651,9.561949713796556,28.31713505179902,20.87007370093754,23.335903313791153,0.0969,0.1537,0.05382,0.06198,0.04556
ARG,ARG.1_1,ARG.1.106_1,RAPE,10.295119506378102,15.431354350902684,19.46668142050079,18.576529657122677,18.219556523207103,100.0945405589333,55.00674327080704,162.8991392531204,120.05865126584979,134.243755823353,0.1029,0.2805,0.1195,0.1547,0.1357
ARG,ARG.1_1,ARG.1.108_1,RAPE,0.01372885742258837,0.02831486148249777,0.06725510528252097,0.0633727691066922,0.05949043293086342,0.8986170198436154,0.4938330845348379,1.462456775697389,1.0778484701015303,1.2051978371344754,0.01528,0.05734,0.04599,0.0588,0.04936
ARG,ARG.1_1,ARG.1.111_1,RAPE,3.3279344480852955,3.058639189991471,2.9141863592740984,4.335821617766933,4.023432553668116,59.31153600907428,32.59452929230913,96.52672473150537,71.14137272614528,79.54682955782407,0.05611,0.09384,0.03019,0.06095,0.05058
ARG,ARG.1_1,ARG.1.112_1,RAPE,298.73254906551296,279.07439812156395,281.8498394902093,323.9008784107077,344.22430674308475,120.38759937188937,66.15875086353321,195.9251344271245,144.39921227484507,161.460189576715,2.481,4.218,1.439,2.243,2.132
ARG,ARG.1_1,ARG.1.114_1,RAPE,2.1715169765007163,1.926225204481938,1.6789284011221233,1.4114136434950264,1.1283506984182303,14.70230629941149,8.079621361809819,23.9273094000541,17.634718686435033,19.718286390817457,0.1477,0.2384,0.07017,0.08004,0.05722
ARG,ARG.1_1,ARG.1.116_1,RAPE,0.23737021038968098,0.2051432398276057,0.17291626926553036,0.1406892987034551,0.10846232814137977,1.899520476221123,1.0438774641421855,3.091379897866788,2.2783846666712053,2.5475791343599847,0.125,0.1965,0.05593,0.06175,0.04257
ARG,ARG.1_1,ARG.1.119_1,RAPE,0.21070556273983332,0.18029089691930983,0.15097447575616052,0.12233489628046412,0.09377558760520947,0.19245842286057038,0.10576511963070281,0.3132169971602105,0.23084474482190387,0.25811938773454085,1.095,1.705,0.482,0.5299,0.3633
ARG,ARG.1_1,ARG.1.124_1,RAPE,17.278744270319045,17.117379094632984,15.25375038516862,13.539218545081653,12.224036373683873,112.23507752235112,61.678549706876105,182.6572900010829,134.6206492063164,150.52627503549593,0.154,0.2775,0.08351,0.1006,0.08121
ARG,ARG.1_1,ARG.1.127_1,RAPE,7.741395413569831,6.668463012995129,5.595530612420425,4.522598211845721,3.4496658112710175,2.065633192981259,1.1351643566521847,3.361720502140719,2.4776289873001205,2.7703644617452676,3.748,5.874,1.664,1.825,1.245
ARG,ARG.1_1,ARG.1.128_1,RAPE,71.86833106682228,70.97551478175755,77.08750248071141,72.40972971930383,69.1747019068747,21.404468167293576,11.76278025506556,34.834761428072206,25.673643785947043,28.707022202545517,3.358,6.034,2.213,2.82,2.41
