GID_0,GID_1,GID_2,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
ALB,ALB.2_1,ALB.2.2_1,CHIC,0.00123643759337291,0.0011289212809057,0.00102140496843849,9.138886559712835e-4,8.063723435040738e-4,0.033431632971661455,0.03331276467169641,0.03346555168964634,0.033626589206565576,0.03356211827974927,0.03698,0.033890000000000003,0.03052,0.02718,0.02403
ALB,ALB.7_1,ALB.7.3_1,CHIC,0,0,0,0,0,0.007190844272133982,0.007165276767409743,0.007198139884021876,0.0072327776089310646,0.0072189104910667,0,0,0,0,0
ARG,ARG.10_1,ARG.10.10_1,CHIC,0.22729198323457134,0.19690521065643934,0.1666405667740564,0.1373818743735603,0.11053989385879621,0.1684079896454141,0.08056925237558459,0.09710939921725921,0.0627117907912004,0.07685357575929498,1.35,2.444,1.716,2.191,1.438
ARG,ARG.10_1,ARG.10.3_1,CHIC,0.6292683206397206,0.5460763944728051,0.46431739988778564,0.3832985304707646,0.30286801985703155,0.06854184883051972,0.03279158861965365,0.03952340845102667,0.02552362327554621,0.031279312714733394,9.181,16.65,11.75,15.02,9.683
ARG,ARG.10_1,ARG.10.5_1,CHIC,0.002994470234670915,0.00248030932892315,0.002024122906441274,0.0016128312948232718,0.0012347149350120331,0.00798140372891571,0.0038184395686950883,0.00460233105719817,0.0029721162393882817,0.00364234153876705,0.3752,0.6496,0.4398,0.5427,0.339
ARG,ARG.10_1,ARG.10.9_1,CHIC,0.12950298287820003,0.10834517698894698,0.08785203540736755,0.0683330161518284,0.050725306747756306,0.042976659814266245,0.02056076649407086,0.024781707944588418,0.016003654606004884,0.019612549190044327,3.013,5.27,3.545,4.27,2.586
ARG,ARG.11_1,ARG.11.18_1,CHIC,0,0,0,0,0,0.03744714207113347,0.017915350967766166,0.021593212273288052,0.013944572013702139,0.017089134406226832,0,0,0,0,0
ARG,ARG.11_1,ARG.11.19_1,CHIC,0,0,0,0,0,0.02764193526758086,0.013224372925610427,0.01593921839865774,0.010293307729724087,0.012614493948259076,0,0,0,0,0
ARG,ARG.11_1,ARG.11.6_1,CHIC,0,0,0,0,0,0.022436615093214072,0.010734059041409859,0.012937665349241581,0.008354949873523681,0.010239027860133499,0,0,0,0,0
ARG,ARG.12_1,ARG.12.2_1,CHIC,0.001239274975203876,0.0011530924509810323,0.0011236883095844911,0.0010344828740732404,9.452774385619895e-4,0.37905110450034946,0.18134450845256778,0.21857291395836,0.14115110342834417,0.17298129879525773,0.003269,0.006359,0.005141,0.007329,0.005465
ARG,ARG.16_1,ARG.16.1_1,CHIC,0.0014641659040920932,0.0013378252605549714,0.0012114846170178497,0.0010851439734807279,9.588033299436142e-4,2.097161210646833,1.0033176644923645,1.2092898065967717,0.7809411855958583,0.9570468617389024,6.982e-4,0.001333,0.001002,0.00139,0.001002
ARG,ARG.17_1,ARG.17.10_1,CHIC,0.01008230250612767,0.00993392865077613,0.01061693258155647,0.00973129397655197,0.00884565537154747,0.020069464676065824,0.009601573939178362,0.01157269118530701,0.007473470069364366,0.009158770478634,0.5024,1.035,0.9174,1.302,0.9658
ARG,ARG.17_1,ARG.17.11_1,CHIC,0.044879655226066406,0.04204361984316855,0.04368093369262322,0.040462136019968585,0.03727952536570189,0.6773738896149001,0.32406721308130293,0.39059531322985686,0.2522405839674961,0.30912194636666185,0.06626,0.1297,0.1118,0.1604,0.1206
ARG,ARG.17_1,ARG.17.12_1,CHIC,1.8542533546797313,1.7725911556998564,1.6490013942253743,1.543381269076936,1.40511291868704,96.78688379441667,46.30449471843739,55.81039330245592,36.0415133547256,44.169033321174354,0.01916,0.03828,0.02955,0.04282,0.03181
ARG,ARG.17_1,ARG.17.14_1,CHIC,0.23357251541986962,0.21749729028356649,0.20911456803920828,0.21131426668950778,0.19518229770692608,15.732957114092876,7.526914815671963,9.072123101031671,5.858640775555315,7.1797900683425295,0.01485,0.0289,0.02305,0.03607,0.02718
ARG,ARG.17_1,ARG.17.16_1,CHIC,39.277801330426264,35.70485628551265,32.287087958844545,28.934156576111967,24.930517834659966,1273.8804805355585,609.4461322690295,734.559971886525,474.36779191144024,581.3398178154227,0.03083,0.05859,0.04395,0.061,0.04288
ARG,ARG.17_1,ARG.17.18_1,CHIC,10.72573764318106,10.13030391708397,9.650804642812721,9.818485571970124,8.997140258730925,159.5829035391242,76.34718077891615,92.02057408712841,59.42550398986008,72.82621681343916,0.06721,0.1327,0.1049,0.1652,0.1235
ARG,ARG.17_1,ARG.17.19_1,CHIC,15.760777637155135,15.088537197979035,13.97220327895523,13.264749708493117,12.118147100797799,51.98788734532748,24.871891320704986,29.977868136238868,19.359256777194425,23.724854426873197,0.3032,0.6067,0.4661,0.6852,0.5108
ARG,ARG.17_1,ARG.17.1_1,CHIC,390.71684026301045,359.9261406640483,322.9707066580434,282.79032081350283,241.00734557820377,7714.1106230037785,3690.561991426837,4448.201357148457,2872.581595140269,3520.361393950926,0.05065,0.09753,0.07261,0.09844,0.06846
ARG,ARG.17_1,ARG.17.20_1,CHIC,22.930633051861076,22.406251458130388,20.919627203461623,19.89051767987784,18.32454530020534,1004.5898631754825,480.61291148096956,579.278443250369,374.0893140703614,458.44810165560403,0.02283,0.04662,0.03611,0.05317,0.03997
ARG,ARG.17_1,ARG.17.21_1,CHIC,0.0662493679491315,0.055769095036238045,0.054120061213724265,0.04480629637333116,0.037497265293548895,100.45122540008933,48.05757819291751,57.92336913337054,37.406041395504886,45.841268443702994,6.595e-4,0.00116,9.343e-4,0.001198,8.18e-4
ARG,ARG.17_1,ARG.17.22_1,CHIC,0,0,0,0,0,0.02581012165281606,0.012348002073231234,0.014882936449194722,0.009611176719078589,0.011778539391021902,0,0,0,0,0
ARG,ARG.17_1,ARG.17.3_1,CHIC,0.16399982106453034,0.1507863948988816,0.1375729687332329,0.2885999129243919,0.26700227326544235,0.4040626270160227,0.1933104470882931,0.23299535276378702,0.1504648976887877,0.18439539467373045,0.4059,0.78,0.5905,1.918,1.448
ARG,ARG.17_1,ARG.17.4_1,CHIC,1.6486968301494556,1.5185980620533912,1.4094129413629573,1.343358826039485,1.2616383268800841,62.80449492879069,30.046740732984286,36.2150678451754,23.3871466253714,28.66105117219722,0.02625,0.05054,0.03892,0.05744,0.04402
ARG,ARG.17_1,ARG.17.5_1,CHIC,0.30467741191653425,0.27042310391061664,0.23820747823415706,0.20682423772794392,0.17871000196701106,96.06243486556217,45.95790600429742,55.392653025449036,35.77174296104719,43.838428515816325,0.003172,0.005884,0.0043,0.005782,0.004077
ARG,ARG.17_1,ARG.17.6_1,CHIC,0.48777218558178265,0.4434080638167008,0.4010231579922266,0.3585666338183372,0.32032653536937744,92.75393620321168,44.37506385843216,53.48486754514946,34.53972376538345,42.32858356646535,0.005259,0.009992,0.007498,0.01038,0.007568
ARG,ARG.17_1,ARG.17.7_1,CHIC,0.6790239279575344,0.5864177090268837,0.5181624702264135,0.4864817148012236,0.41841145597595275,177.59319767858707,84.96361243952893,102.4058820959221,66.13217984615449,81.04527760745944,0.003823,0.006902,0.00506,0.007356,0.005163
