GID_0,GID_1,GID_2,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,AFG.18_1,AFG.18.1_1,OOIL,8.5210373134282e-4,7.413531519633647e-4,6.306025725839096e-4,5.392755777132957e-4,4.6737216735152285e-4,0.0832883819044884,0.0832883819044884,0.0832883819044884,0.0832883819044884,0.0832883819044884,0.01023,0.008901,0.007571,0.006475,0.005611
AFG,AFG.19_1,AFG.19.2_1,OOIL,0,0,1.0613341340631364e-4,1.2883279206990785e-4,1.21946867392013e-4,7.109150347570896,7.109150347570896,7.109150347570896,7.109150347570896,7.109150347570896,0,0,1.493e-5,1.812e-5,1.715e-5
AFG,AFG.19_1,AFG.19.3_1,OOIL,0.0066173493231361175,0.006002980442744808,0.005418242420851989,0.004833504398959169,0.004256353916277179,1.7871745150986327,1.7871745150986327,1.7871745150986327,1.7871745150986327,1.7871745150986327,0.003703,0.003359,0.003032,0.002705,0.002382
AFG,AFG.19_1,AFG.19.4_1,OOIL,0.03258831661899847,0.029718614851577334,0.026848913084156205,0.02397921131673507,0.021109509549313944,24.052476428486322,24.052476428486322,24.052476428486322,24.052476428486322,24.052476428486322,0.001355,0.001236,0.001116,9.97e-4,8.776e-4
AFG,AFG.19_1,AFG.19.5_1,OOIL,0,0,0,4.361937332945491e-6,4.138248238948287e-6,0.12532238159110945,0.12532238159110945,0.12532238159110945,0.12532238159110945,0.12532238159110945,0,0,0,3.481e-5,3.302e-5
AFG,AFG.19_1,AFG.19.6_1,OOIL,0,0,0,0,0,0.375134116240366,0.375134116240366,0.375134116240366,0.375134116240366,0.375134116240366,0,0,0,0,0
AFG,AFG.19_1,AFG.19.7_1,OOIL,0,0,0,4.0249080651660454e-5,3.8185025233626584e-5,0.6252231814098039,0.6252231814098039,0.6252231814098039,0.6252231814098039,0.6252231814098039,0,0,0,6.438e-5,6.107e-5
AFG,AFG.1_1,AFG.1.7_1,OOIL,0,0,0,0,0,0.6180370497446642,0.6180370497446642,0.6180370497446642,0.6180370497446642,0.6180370497446642,0,0,0,0,0
AFG,AFG.22_1,AFG.22.14_1,OOIL,0,0,0,0,0,0.017229316641755598,0.017229316641755598,0.017229316641755598,0.017229316641755598,0.017229316641755598,0,0,0,0,0
AFG,AFG.22_1,AFG.22.17_1,OOIL,0,0,0,0,1.578539858752741e-4,0.3123447003375077,0.3123447003375077,0.3123447003375077,0.3123447003375077,0.3123447003375077,0,0,0,0,5.054e-4
AFG,AFG.22_1,AFG.22.19_1,OOIL,0,0,0,0,0,0.08396256317600058,0.08396256317600058,0.08396256317600058,0.08396256317600058,0.08396256317600058,0,0,0,0,0
AFG,AFG.22_1,AFG.22.20_1,OOIL,0,0,0,0.00212272642549621,0.00201386866008615,0.045976253530628376,0.045976253530628376,0.045976253530628376,0.045976253530628376,0.045976253530628376,0,0,0,0.04617,0.0438
AFG,AFG.22_1,AFG.22.2_1,OOIL,0,0,0,0,0,0.5904228777950141,0.5904228777950141,0.5904228777950141,0.5904228777950141,0.5904228777950141,0,0,0,0,0
AFG,AFG.22_1,AFG.22.8_1,OOIL,0,0,0,0,0,0.043162355571287225,0.043162355571287225,0.043162355571287225,0.043162355571287225,0.043162355571287225,0,0,0,0,0
AFG,AFG.22_1,AFG.22.9_1,OOIL,0,0,0,0,5.089400181831391e-4,0.04453114692222192,0.04453114692222192,0.04453114692222192,0.04453114692222192,0.04453114692222192,0,0,0,0,0.01143
AFG,AFG.30_1,AFG.30.4_1,OOIL,0,0,0,1.5826016052888838e-4,1.5014425486074024e-4,2.0581145374343457,2.0581145374343457,2.0581145374343457,2.0581145374343457,2.0581145374343457,0,0,0,7.69e-5,7.295e-5
AFG,AFG.31_1,AFG.31.10_1,OOIL,0,0,0,0,0,4.8239257648250575,4.8239257648250575,4.8239257648250575,4.8239257648250575,4.8239257648250575,0,0,0,0,0
AFG,AFG.31_1,AFG.31.12_1,OOIL,8.654633841421696e-5,7.104773635106714e-5,5.899197136406445e-5,7.08261575367562e-5,6.227797865261754e-5,4.472468729552435,4.472468729552435,4.472468729552435,4.472468729552435,4.472468729552435,1.935e-5,1.589e-5,1.319e-5,1.584e-5,1.392e-5
AFG,AFG.31_1,AFG.31.2_1,OOIL,4.973765537510837e-4,3.5238794174016373e-4,2.0739932972924376e-4,1.1804189575831082e-4,8.431563982736489e-5,0.019631570178814797,0.019631570178814797,0.019631570178814797,0.019631570178814797,0.019631570178814797,0.02534,0.01795,0.01056,0.006013,0.004295
AFG,AFG.31_1,AFG.31.4_1,OOIL,0.005607618598453816,0.003992866598993042,0.0028047940391592273,0.0018359623971143518,0.001208723593532319,25.60243185975385,25.60243185975385,25.60243185975385,25.60243185975385,25.60243185975385,2.19e-4,1.56e-4,1.096e-4,7.171e-5,4.721e-5
AFG,AFG.31_1,AFG.31.6_1,OOIL,0,0,0,0,0,2.8277651414279283,2.8277651414279283,2.8277651414279283,2.8277651414279283,2.8277651414279283,0,0,0,0,0
AFG,AFG.31_1,AFG.31.8_1,OOIL,0,0,0,0,0,3.6668510880907337,3.6668510880907337,3.6668510880907337,3.6668510880907337,3.6668510880907337,0,0,0,0,0
AFG,AFG.32_1,AFG.32.1_1,OOIL,0,0,0,0,2.025595790572034e-4,0.46252880401383234,0.46252880401383234,0.46252880401383234,0.46252880401383234,0.46252880401383234,0,0,0,0,4.379e-4
AFG,AFG.34_1,AFG.34.5_1,OOIL,0,0,0,0,0,0.09478142629495236,0.09478142629495236,0.09478142629495236,0.09478142629495236,0.09478142629495236,0,0,0,0,0
AFG,AFG.3_1,AFG.3.11_1,OOIL,0,7.5228372161213e-4,7.137050692217644e-4,6.751264168313988e-4,6.365477644410332e-4,6.6958758005513825,6.6958758005513825,6.6958758005513825,6.6958758005513825,6.6958758005513825,0,1.124e-4,1.066e-4,1.008e-4,9.507e-5
