GID_0,GID_1,GID_2,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,AFG.19_1,AFG.19.2_1,SMIL,0,0,0,0,0,0.00111361970850199,0.00111361970850199,0.00111361970850199,0.00111361970850199,0.00111361970850199,0,0,0,0,0
AFG,AFG.19_1,AFG.19.3_1,SMIL,1.2577157893418173e-4,1.1464401107957391e-4,1.0351644322496606e-4,9.238887537035826e-5,8.126130751575042e-5,0.02497958922519905,0.02497958922519905,0.02497958922519905,0.02497958922519905,0.02497958922519905,0.005035,0.00459,0.004144,0.003699,0.003253
AFG,AFG.19_1,AFG.19.4_1,SMIL,5.791698497365904e-4,5.268535923159005e-4,4.7470162712495327e-4,4.2274489089034047e-4,3.709395491547112e-4,0.227376838895146,0.227376838895146,0.227376838895146,0.227376838895146,0.227376838895146,0.002547,0.002317,0.002088,0.001859,0.001631
AFG,AFG.22_1,AFG.22.17_1,SMIL,0,0,0,0,0,0.0038079445762182968,0.0038079445762182968,0.0038079445762182968,0.0038079445762182968,0.0038079445762182968,0,0,0,0,0
AFG,AFG.31_1,AFG.31.12_1,SMIL,0,0,0,0,0,0.011370507170201915,0.011370507170201915,0.011370507170201915,0.011370507170201915,0.011370507170201915,0,0,0,0,0
AFG,AFG.31_1,AFG.31.2_1,SMIL,0,0,0,0,0,5.028903693606275e-4,5.028903693606275e-4,5.028903693606275e-4,5.028903693606275e-4,5.028903693606275e-4,0,0,0,0,0
AFG,AFG.31_1,AFG.31.4_1,SMIL,3.844757499137418e-5,3.222355292454734e-5,2.797247348589329e-5,2.3879244029907023e-5,2.0148185343659028e-5,0.12798837147304679,0.12798837147304679,0.12798837147304679,0.12798837147304679,0.12798837147304679,3.004e-4,2.518e-4,2.186e-4,1.866e-4,1.574e-4
AFG,AFG.31_1,AFG.31.6_1,SMIL,0,0,0,0,0,0.0033804657671345803,0.0033804657671345803,0.0033804657671345803,0.0033804657671345803,0.0033804657671345803,0,0,0,0,0
AFG,AFG.31_1,AFG.31.8_1,SMIL,0,0,0,0,0,0.009643755524519666,0.009643755524519666,0.009643755524519666,0.009643755524519666,0.009643755524519666,0,0,0,0,0
AFG,AFG.3_1,AFG.3.11_1,SMIL,0,0,0,0,0,0.0071844062899323324,0.0071844062899323324,0.0071844062899323324,0.0071844062899323324,0.0071844062899323324,0,0,0,0,0
AFG,AFG.3_1,AFG.3.3_1,SMIL,0,0,0,0,0,0.0014374394976678108,0.0014374394976678108,0.0014374394976678108,0.0014374394976678108,0.0014374394976678108,0,0,0,0,0
AFG,AFG.3_1,AFG.3.4_1,SMIL,0,0,0,0,0,0.004811064011128677,0.004811064011128677,0.004811064011128677,0.004811064011128677,0.004811064011128677,0,0,0,0,0
ARG,ARG.10_1,ARG.10.10_1,SMIL,2.006913587982036e-4,1.9764091030706897e-4,1.8925418497705963e-4,1.8176719961775586e-4,1.7005324606094718e-4,0.08800252842522872,0.08800252842522872,0.08800252842522872,0.08800252842522872,0.08800252842522872,0.002281,0.002246,0.002151,0.002065,0.001932
ARG,ARG.10_1,ARG.10.3_1,SMIL,5.461438080758532e-4,5.159181679274431e-4,4.7902896990173726e-4,4.5288974345245514e-4,4.152547833055951e-4,0.16302745675856176,0.16302745675856176,0.16302745675856176,0.16302745675856176,0.16302745675856176,0.00335,0.003165,0.002938,0.002778,0.002547
ARG,ARG.10_1,ARG.10.5_1,SMIL,0.01889270523477778,0.01768475491901784,0.0164768046032579,0.01526885428749796,0.01406090397173802,0.015589921348067932,0.015589921348067932,0.015589921348067932,0.015589921348067932,0.015589921348067932,1.212,1.134,1.057,0.9794,0.9019
ARG,ARG.10_1,ARG.10.8_1,SMIL,9.188966540879068e-4,8.461144423558685e-4,7.701578313112317e-4,6.921635781161784e-4,6.141693249211253e-4,0.06534104471655455,0.06534104471655455,0.06534104471655455,0.06534104471655455,0.06534104471655455,0.01406,0.01295,0.01179,0.01059,0.009399
ARG,ARG.10_1,ARG.10.9_1,SMIL,0.0014026595916387492,0.0012965504778295852,0.0011904413640204214,0.001084332250211259,9.782231364020946e-4,0.08074442113131554,0.08074442113131554,0.08074442113131554,0.08074442113131554,0.08074442113131554,0.01737,0.01606,0.01474,0.01343,0.01212
ARG,ARG.11_1,ARG.11.16_1,SMIL,0,0,0,0,0,2.372006160924968e-4,2.372006160924968e-4,2.372006160924968e-4,2.372006160924968e-4,2.372006160924968e-4,0,0,0,0,0
ARG,ARG.11_1,ARG.11.17_1,SMIL,2.675473264759733e-4,1.9812559470459688e-4,1.3087825924224948e-4,7.202012685298862e-5,4.031442541532724e-5,1.6169765346756183e-5,1.6169765346756183e-5,1.6169765346756183e-5,1.6169765346756183e-5,1.6169765346756183e-5,16.55,12.25,8.094,4.454,2.493
ARG,ARG.11_1,ARG.11.20_1,SMIL,5.0103578268660134e-5,2.6976260291772566e-5,1.4311701210233869e-5,1.2109901024044042e-5,9.908100837854216e-6,0.0746551530407482,0.0746551530407482,0.0746551530407482,0.0746551530407482,0.0746551530407482,6.711e-4,3.613e-4,1.917e-4,1.622e-4,1.327e-4
ARG,ARG.11_1,ARG.11.22_1,SMIL,0,0,0.00121182876193402,0.00114968369721946,0.00108753863250489,0.002335409195394358,0.002335409195394358,0.002335409195394358,0.002335409195394358,0.002335409195394358,0,0,0.5189,0.4923,0.4657
ARG,ARG.11_1,ARG.11.3_1,SMIL,0.0031323969141644373,0.0023635748471377005,0.0016654672382555706,9.673596293734405e-4,3.614690220665297e-4,0.007445171015463183,0.007445171015463183,0.007445171015463183,0.007445171015463183,0.007445171015463183,0.4207,0.3175,0.2237,0.1299,0.04855
ARG,ARG.11_1,ARG.11.4_1,SMIL,6.583786227462377e-5,3.678212562493458e-5,1.7965923064006112e-5,5.655045154640434e-6,1.5915860693906265e-6,0.0014927698782956449,0.0014927698782956449,0.0014927698782956449,0.0014927698782956449,0.0014927698782956449,0.0441,0.02464,0.01204,0.003788,0.001066
ARG,ARG.11_1,ARG.11.9_1,SMIL,0,0,0,0,0,9.062074031150601e-4,9.062074031150601e-4,9.062074031150601e-4,9.062074031150601e-4,9.062074031150601e-4,0,0,0,0,0
ARG,ARG.15_1,ARG.15.6_1,SMIL,0.00198154831177886,0.00185298250459387,0.00172441669740888,0.00174475181942696,0.00160855006715463,0.25621695976137887,0.25621695976137887,0.25621695976137887,0.25621695976137887,0.25621695976137887,0.007734,0.007232,0.00673,0.00681,0.006278
ARG,ARG.16_1,ARG.16.10_1,SMIL,0.07362209387424629,0.06722017266779008,0.06081825146133387,0.05441633025487768,0.04801440904842149,0.10986429226867479,0.10986429226867479,0.10986429226867479,0.10986429226867479,0.10986429226867479,0.6701,0.6118,0.5536,0.4953,0.437
ARG,ARG.16_1,ARG.16.12_1,SMIL,0.0017250485763509289,0.0015760762279449286,0.0014271038795389281,0.0012781315311329274,0.0011291591827269267,0.5586642996575227,0.5586642996575227,0.5586642996575227,0.5586642996575227,0.5586642996575227,0.003088,0.002821,0.002554,0.002288,0.002021
ARG,ARG.16_1,ARG.16.1_1,SMIL,1.190265163242225e-4,1.0869928400015663e-4,9.837205167609075e-5,8.804481935202488e-5,7.7717587027959e-5,2.8766169730186673,2.8766169730186673,2.8766169730186673,2.8766169730186673,2.8766169730186673,4.138e-5,3.779e-5,3.42e-5,3.061e-5,2.702e-5
ARG,ARG.16_1,ARG.16.2_1,SMIL,0.0325487572642704,0.030060454577471675,0.02758138381735645,0.025092607698420116,0.022603831579483747,7.745811884308918,7.745811884308918,7.745811884308918,7.745811884308918,7.745811884308918,0.004202,0.003881,0.003561,0.00324,0.002918
ARG,ARG.16_1,ARG.16.3_1,SMIL,0.4430435282388921,0.656885201134752,0.6228381144308702,0.6292568430985391,0.5918915673578988,0.9841619399588147,0.9841619399588147,0.9841619399588147,0.9841619399588147,0.9841619399588147,0.4502,0.6675,0.6329,0.6394,0.6014
ARG,ARG.16_1,ARG.16.4_1,SMIL,0.024627061848073385,0.022569442498671998,0.02051182314927062,0.01845420379986922,0.01639658445046787,2.398723655340751,2.398723655340751,2.398723655340751,2.398723655340751,2.398723655340751,0.01027,0.009409,0.008551,0.007693,0.006836
ARG,ARG.16_1,ARG.16.5_1,SMIL,0.028714715118142664,0.026582498615393826,0.02445028211264502,0.022318065609896177,0.020185849107147363,1.0151093344425783,1.0151093344425783,1.0151093344425783,1.0151093344425783,1.0151093344425783,0.02829,0.02619,0.02409,0.02199,0.01989
