GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,SUGC,3.010823377666158e-4,1.0188452481626575e-4,2.5886427899636394e-5,0,0.0132316138140254,39.216716814677525,40.328239960770084,56.83562398680331,54.505513293505935,54.65647604569967,7.677e-6,2.526e-6,4.555e-7,0,2.421e-4
AGO,SUGC,25.493029991523905,29.995459890096324,34.21099162294557,36.83602226898425,43.53401759625966,540257.7946323173,625792.2079379443,632658.3597800537,632937.9701039473,631222.2411091921,4.719e-5,4.793e-5,5.407e-5,5.82e-5,6.897e-5
ARE,SUGC,0,0,0,0,0,0.008025425070548996,0.008552749000517867,0.00900607851133628,0.009034916538756453,0.008940635432278401,0,0,0,0,0
ARG,SUGC,5013.1905715180565,5402.668171148717,5841.338687485717,5980.791604317501,5998.8898603043535,3747701.700826565,3540118.0357370907,3319940.7931239307,3307254.074735563,3341750.3379635937,0.001338,0.001526,0.001759,0.001808,0.001795
AUS,SUGC,379.08100001042476,332.4955152700675,296.40259528218974,290.5212896558047,293.20020469636296,6085088.643402858,6255891.9299840545,5760739.569700405,6548437.751658118,6319792.8305390375,6.23e-5,5.315e-5,5.145e-5,4.436e-5,4.639e-5
BDI,SUGC,0.1446039335152638,0.13495398942363993,0.12618951802931533,0.11749435515541823,0.10942211538992758,87531.80739617723,72993.51443800011,85573.14317403529,89603.2589627524,85772.77836065032,1.652e-6,1.849e-6,1.475e-6,1.311e-6,1.276e-6
BEN,SUGC,0.19480498686805517,0.16669847792318995,0.14348861251760475,0.12125819533679642,0.11008753014186438,53798.65821242785,53858.256984890126,53857.33277859618,57641.1838023374,56560.39288153432,3.621e-6,3.095e-6,2.664e-6,2.104e-6,1.946e-6
BFA,SUGC,0.002364060629088341,0.0021069808885022987,0.0018499011479162462,0.0015928214073301938,0.0013357416667441513,373417.74428637273,373011.5336055624,374412.80306010175,375974.8228713989,375399.62450570223,6.331e-9,5.649e-9,4.941e-9,4.237e-9,3.558e-9
BGD,SUGC,3.6691550166175864,3.2065299199215,2.8633379486623216,2.792645692474773,2.511281062453827,58101.311722918945,52729.164556357435,48992.5036685072,47474.806453622485,49279.93515715968,6.315e-5,6.081e-5,5.844e-5,5.882e-5,5.096e-5
BHS,SUGC,0,0,0,0,0,211.45782755971558,209.99434404047935,211.21501045096642,212.43571060948818,211.83675831018903,0,0,0,0,0
BLZ,SUGC,3010.478705182843,2869.286848467229,2721.4172526053944,2863.605699509997,3115.9489276518952,1303686.2869476932,1596464.5697653375,1523180.6480250182,1266449.0727171798,1381739.3339997155,0.002309,0.001797,0.001787,0.002261,0.002255
BOL,SUGC,4312.937871237945,4117.965577376997,4074.92157563172,3928.286662099212,4012.078787177519,8033396.268454654,8032989.609129854,8033072.68532868,8033633.061136221,8033423.732290048,5.369e-4,5.126e-4,5.073e-4,4.89e-4,4.994e-4
BRA,SUGC,48966.90500469078,50984.66449226748,50376.281751731425,49594.19115824526,50646.47469304045,284462950.25549316,269267271.64393795,273169840.9995175,294438518.61286104,286446367.4677093,1.721e-4,1.893e-4,1.844e-4,1.684e-4,1.768e-4
BRB,SUGC,0.00625439833735224,5.888136357658411e-4,0,0,0,20210.166512756416,20373.848920677483,21219.93278759471,16109.499365804766,17666.207894508298,3.095e-7,2.89e-8,0,0,0
BRN,SUGC,0.044941252457059336,0.03031643560784554,0.01699363791566845,0.006226608647898182,9.707597011364617e-4,0.6306297961632832,0.6861772872449757,0.6711973088135225,0.45498909323070824,0.5328595389567707,0.07126,0.04418,0.02532,0.01369,0.001822
BTN,SUGC,0.7668399328528418,0.6462876493027944,0.5281282735564223,0.42498612216959,0.33125290861892,176.68012285924956,159.66107740790056,162.33061850057712,172.62624176766928,168.91062837124812,0.00434,0.004048,0.003253,0.002462,0.001961
BWA,SUGC,3.031078685182509e-4,2.635284424905385e-4,2.2394901646282593e-4,1.8436959043511344e-4,1.5543655089785403e-4,6.109041580351018,6.1357211348946,5.332575443231769,5.910304811398823,5.677631607874184,4.962e-5,4.295e-5,4.2e-5,3.119e-5,2.738e-5
CAF,SUGC,424.21271060174564,509.0452437137367,522.7114964313538,625.7347569898949,627.3808523862962,95117.23916729534,96796.01983588366,96831.42416734515,98080.07672766647,97417.15048787413,0.00446,0.005259,0.005398,0.00638,0.00644
CHN,SUGC,1169.5511580724494,1054.3475730239663,937.6646162216384,882.1608475502541,807.8303613294244,19057730.834878646,18811949.62304039,18224568.78092769,18417591.478154108,18354303.96050885,6.137e-5,5.605e-5,5.145e-5,4.79e-5,4.401e-5
CIV,SUGC,8.192201574904237,7.158898755425302,6.462164872698154,5.960231187977559,5.393880393264299,1965126.3890056557,1965129.6094794474,1965138.6445060887,1965147.9916093098,1965142.8792930334,4.169e-6,3.643e-6,3.288e-6,3.033e-6,2.745e-6
CMR,SUGC,19.389798897881686,17.504846349637845,14.535400821972445,12.113748814889384,10.131448510345688,670588.2546539746,670825.6441262346,668909.6100030601,666970.8744383041,667851.4466744945,2.891e-5,2.609e-5,2.173e-5,1.816e-5,1.517e-5
COD,SUGC,248.74912783843735,259.45757385115235,269.2659249269766,265.5739709781172,275.46546722746945,1576881.0974006737,1523093.077495192,1392042.58701333,1424128.2751209666,1418821.680256818,1.577e-4,1.703e-4,1.934e-4,1.865e-4,1.942e-4
COG,SUGC,551.1791249598699,668.4832594120159,750.3077056963441,803.5605001397744,988.7045894457478,386718.5304177955,405891.31995037425,405376.4864223266,410011.2932561217,407740.2693509534,0.001425,0.001647,0.001851,0.00196,0.002425
COL,SUGC,7934.590244416043,7922.517486305149,8015.696545995473,7970.594701102058,7821.728769937767,20329449.71094956,19333627.513088815,19991654.72416788,18121793.549256936,18668537.592083912,3.903e-4,4.098e-4,4.01e-4,4.398e-4,4.19e-4
CRI,SUGC,590.9312411321,586.4170271507047,588.6800021440167,593.6908178332379,622.0905359633399,3290399.61701994,3132497.1396934306,3059145.919442705,2680523.470350668,2793635.644046563,1.796e-4,1.872e-4,1.924e-4,2.215e-4,2.227e-4
