GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AGO,BANA,1429906.3523199745,1505285.3534691476,1525301.8371951918,1565873.7065341808,1582887.229922632,2681130.989885358,2771208.2841059393,2926352.532941611,3120577.4029030073,3023446.1801823718,0.5333,0.5432,0.5212,0.5018,0.5235
ALB,BANA,0,0,0,0,0,0.2667097829847219,0.08185039269050963,0.0824071980829621,0.07683914415843762,0.08013079203681901,0,0,0,0,0
ARE,BANA,0,0,0,0,0,0.028021791985064076,0.02331196860985494,0.023301812159880312,0.023833079415141196,0.023565631528883163,0,0,0,0,0
ARG,BANA,100168.83448109185,100684.01523352174,99951.89939566515,95197.68821918128,89311.34157700396,75169.56836491305,75058.2732185294,75336.31068217923,75254.8303959663,75278.89790988859,1.333,1.341,1.327,1.265,1.186
ATG,BANA,456.61192241570444,538.4411645228128,584.4975214804375,540.5834845007204,604.4419573186372,8.987270509586793,19.29394881738952,13.461783912232132,9.235854587511533,12.64227869472282,50.81,27.91,43.42,58.53,47.81
AUS,BANA,10677.851700712901,10384.70833654649,9963.702408204526,11096.981373299297,10699.066306189869,92048.80631676353,85524.5417017623,69410.33918890456,92498.22165928541,84461.16882783588,0.116,0.1214,0.1435,0.12,0.1267
AZE,BANA,0.0087539159504722,0.00802036712358485,0.00728681829669749,0.00655326946981015,0.0058197206429228,9.9786715698197,9.9786715698197,9.9786715698197,9.9786715698197,9.9786715698197,8.773e-4,8.038e-4,7.302e-4,6.567e-4,5.832e-4
BDI,BANA,4866.302273857848,5062.703357034429,5034.166800735128,5267.950906866572,5548.333598769887,84066.79656166624,114850.73818737842,97248.97008553414,103624.61671809993,104054.54061317023,0.05789,0.04408,0.05177,0.05084,0.05332
BEN,BANA,7685.60639273106,7987.688016244503,8677.644956214897,10068.142458103554,10667.081648114934,15130.132030752107,15202.41951557634,15231.362669248372,15200.684847474986,15211.081138482592,0.508,0.5254,0.5697,0.6623,0.7013
BFA,BANA,134.26168079848827,139.5242665727449,145.0971246654218,155.74468028001564,176.16790486128212,5820.675833848002,6588.7863875118865,6686.1648678225,6873.074230961839,6772.130167876959,0.02307,0.02118,0.0217,0.02266,0.02601
BGD,BANA,88186.99708722101,93144.74861841995,94934.72938705399,99251.5041380291,101657.22784301844,82943.96759334659,83797.87387959562,83993.74314258096,85632.4309313915,85087.98601750575,1.063,1.112,1.13,1.159,1.195
BGR,BANA,9.446432240637937e-4,7.853868350747739e-4,6.26130446085754e-4,4.6687405709673423e-4,3.0761766810771444e-4,0.4786789476814546,0.14690147246174076,0.1479008022063784,0.13790750476000152,0.1438152091003847,0.001973,0.005346,0.004233,0.003385,0.002139
BHS,BANA,0.3788744966945906,0.34856453695902345,0.3182545772234562,0.2879446174878889,0.2576346577523217,40.180451068334605,40.08764393805242,40.36483507696485,40.64198777050435,40.51930181906049,0.009429,0.008695,0.007884,0.007085,0.006358
BLZ,BANA,36711.05561985487,37179.09116915927,37118.542117808756,37854.77742884095,40402.100201299065,66699.81589815141,71619.04882540538,62073.6344640755,48400.29820989623,52943.967287922445,0.5504,0.5191,0.598,0.7821,0.7631
