GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AGO,PMIL,619932.8534256844,616289.5522327564,596669.2284446979,586813.5594392885,572047.2661564961,16326.486352167876,10391.089973078184,10383.81503999469,8904.765620175313,9738.192271174967,37.97,59.31,57.46,65.9,58.74
ALB,PMIL,0.00411267762004175,0.0035219918281593,0.00293130603627685,0.0023406202443944,0.00174993445251195,0.00196656664539185,0.0019713427635348786,0.0019635815715524575,0.001967163660159729,0.0019665348046042346,2.091,1.787,1.493,1.19,0.8899
AZE,PMIL,10.846286735369825,9.495075700495308,8.144376545308203,7.036733600174844,5.6999136338198175,41.56675007054976,26.32325255864399,29.667169882755264,110.3926860812203,84.97102511544686,0.2609,0.3607,0.2745,0.06374,0.06708
BDI,PMIL,13.800305070613955,11.308380175072335,9.028679815656748,6.888203751558486,6.344986070785356,49.306185219549064,48.76274180717278,49.698306025350746,49.97824145769264,49.80623132389737,0.2799,0.2319,0.1817,0.1378,0.1274
BEN,PMIL,130.92504120892636,122.43163614315958,119.22984006683302,115.82252048516634,113.78826660029361,194.9661060251361,151.10554639226038,201.32745616007003,175.12883075225136,178.42489356689643,0.6715,0.8102,0.5922,0.6614,0.6377
BFA,PMIL,32887.40448345607,28594.467898532705,24457.80979343315,20444.488897289273,16790.682627523613,38558.65904470839,28470.334182308823,36566.54649556485,34753.95167704256,34044.20248925967,0.8529,1.004,0.6689,0.5883,0.4932
BLR,PMIL,552.509648257002,516.5665264403738,470.16026481327305,422.22193573140066,382.81334091476566,142.830951236374,127.87832175668198,147.8265178757988,152.58505291168174,149.05966113764777,3.868,4.04,3.18,2.767,2.568
BWA,PMIL,101.6936872698374,103.77132915953757,98.78742053073118,92.768631538591535,91.13559402369647,11.109339282781205,2.8693425138579336,2.44419585623025,1.893335631424326,2.3481129289994236,9.154,36.17,40.42,49,38.81
CAF,PMIL,89257.35262397489,96520.31210805106,100518.11623438328,103769.52679427927,111166.67642304966,5480.581980384516,5436.7812181181425,5482.295862902819,5433.966905863376,5445.309006974168,16.29,17.75,18.34,19.1,20.42
CIV,PMIL,1561435.412643408,1677241.6846421252,1747521.8580410685,1894190.4335380977,1965122.193231227,46677.35721156884,46424.28674866297,46620.88913620484,46680.87001410394,46626.23554618179,33.45,36.13,37.48,40.58,42.15
CMR,PMIL,218219.04233224405,248694.37679336595,277874.8296450818,314106.9091637372,336078.6707595289,22029.60868609505,22022.006111277253,22030.70650802527,22021.488705730557,22024.093638306644,9.906,11.29,12.61,14.26,15.26
COD,PMIL,3387695.560243278,3753182.4266962144,4161637.5708369426,4504565.852739052,4777747.6949017495,21252.239994378353,20994.985662325005,21398.036033051274,21614.16873303916,21510.45713513877,159.4,178.8,194.5,208.4,222.1
COG,PMIL,240622.27469638406,234987.8626443405,234069.66717090382,228199.39604105405,226866.95898305354,744.6470090366291,778.2991089185633,751.4216818020024,758.1773813861209,760.4226825459799,323.1,301.9,311.5,301,298.3
DZA,PMIL,0,0,0,0,0,0.034478995920472766,0.0354457971767353,0.03518270305142055,0.035035832049542866,0.0351760056275951,0,0,0,0,0
ERI,PMIL,0.6190797517430062,0.33495147514097584,0.5186651457325445,4.756742057480722,5.50296016271919,38.34665799456367,38.337578468984276,38.34653300601096,38.33564114641719,38.33801889888486,0.01614,0.008737,0.01353,0.1241,0.1435
