GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AGO,CASS,1396199.34316336,1499759.05048218,1545378.7714992948,1602991.455721897,1653054.4309864608,772234.0807118438,793877.410682008,848226.9560551443,903545.5958495969,874519.8866778787,1.808,1.889,1.822,1.774,1.89
ARG,CASS,159345.63882304792,164216.0248103023,162733.4504913872,161684.5379981048,161920.14592179665,41354.06481002156,41569.265920025864,41179.492481749236,42105.43727067409,41742.25695467664,3.853,3.95,3.952,3.84,3.879
ATG,CASS,8.61678663613045,7.245276125268744,5.9430687524961,4.688701950487486,3.530662636367435,17.202275778156714,17.421455353708517,47.890737258069116,21.114299111490425,32.177175649697496,0.5009,0.4159,0.1241,0.2221,0.1097
BDI,CASS,98768.28736794279,106992.45761699667,109830.01859161412,118278.11136774272,124126.55839814318,1064644.8577418812,1031911.9683296576,1062588.775980215,1069623.5771179798,1063435.3670313,0.09277,0.1037,0.1034,0.1106,0.1167
BEN,CASS,327027.4292131588,358574.65112163237,379736.5545284299,404358.66667277314,417424.02886363474,2529378.4604252665,2564186.1039399286,2643832.22603415,2704270.4287560913,2670704.3956251144,0.1293,0.1398,0.1436,0.1495,0.1563
BFA,CASS,122.32122259294522,110.574952847221,98.04510087202982,87.8490159234144,83.92003572640697,1969.724321993191,1938.347347944338,1947.654913095783,1950.2909966713487,1946.5753234772376,0.0621,0.05705,0.05034,0.04504,0.04311
BGD,CASS,236.23113830320182,259.9236301561811,267.67369566683004,274.0438431765255,284.7230314099646,453.5849569364364,519.4018777285308,464.8909884519708,444.27287345963913,462.05817090310103,0.5208,0.5004,0.5758,0.6168,0.6162
BHS,CASS,0.03208674069303924,0.0295198014375961,0.02695286218215297,0.02438592292670982,0.02181898367126668,3.7427616172092084,3.755412463353874,3.757740570456886,3.757696643907773,3.7571672997066017,0.008573,0.007861,0.007173,0.00649,0.005807
BLZ,CASS,1578.6971928336802,1602.2020292608756,1624.334249489901,1701.560334193585,2068.4716034068715,366.3792926185405,329.9958203535865,429.2279928079893,392.6357267015329,402.65389969385785,4.309,4.855,3.784,4.334,5.137
BOL,CASS,122857.81157025126,116141.30176170431,112953.02591349506,111910.6008161991,109920.48067740578,74108.34910423507,74114.46500345482,74005.18439010266,74182.12791215941,74130.79126995146,1.658,1.567,1.526,1.509,1.483
BRA,CASS,15484322.431872802,15536124.935290288,15817949.228028633,15795513.948452586,15744233.393363426,9679961.790525187,9692309.373121038,9480945.961307341,9848269.456599774,9749551.546149453,1.6,1.603,1.668,1.604,1.615
BRB,CASS,27.136864469759363,23.870589272668166,20.23381447213748,16.631507149034338,13.005105353859824,137.7492613259166,110.25854384463582,97.39846760418345,77.74658750668937,88.480381570739425,0.197,0.2165,0.2077,0.2139,0.147
BRN,CASS,9.468750102407162,8.485664276788958,7.718986993321051,6.865504647612541,6.697459832984065,20.29402418034342,22.389144923837932,24.895248728675192,24.42739489420665,24.432246860252633,0.4666,0.379,0.3101,0.2811,0.2741
BTN,CASS,0.856385096717398,0.7931347351450336,1.0352161097541397,0.9831311947008993,0.9031273999835688,17.001599057233207,19.473283672649455,17.43084735026236,16.659322640569435,17.325227020277605,0.05037,0.04073,0.05939,0.05901,0.05213
BWA,CASS,0.539395667380714,0.489925253101917,0.44045483882312003,1.1075679991119733,1.2293570083457037,1.0628530701431977,1.0686616931565465,1.070740265913992,1.0674183572369256,1.0685843451993802,0.5075,0.4584,0.4114,1.038,1.15
CAF,CASS,298656.4141931382,312772.0964830591,316662.96974239283,319623.927939362,330457.37807837495,66025.91662033307,67941.57245348128,70186.24862174869,72289.85293353014,71230.33640873503,4.523,4.604,4.512,4.421,4.639
CHN,CASS,228193.83051043988,228965.9452672204,232355.47114569639,237033.01357678405,251776.85903740046,657673.7644121053,660545.2235162607,667328.6505792481,661856.741820875,664069.0570967243,0.347,0.3466,0.3482,0.3581,0.3791
CIV,CASS,213540.05091703215,213385.46645201027,213340.30645232947,216464.66782592644,216497.92455173965,631647.2872946246,632397.9486301863,633311.7823501889,634474.2492225488,633876.4695748313,0.3381,0.3374,0.3369,0.3412,0.3415
CMR,CASS,3693584.6639033207,4067142.014231393,4368928.435218743,4802807.17321817,5022306.858449562,3104666.1312886123,3171662.2842016974,3365861.470586233,3466117.444015286,3404124.0440551136,1.19,1.282,1.298,1.386,1.475
COD,CASS,47917492.40039464,50154553.93107711,52020310.81821733,54206276.16161852,55946398.72296301,10247195.35097062,10190452.823060805,10501334.521884173,10824230.032443738,10674704.699877406,4.676,4.922,4.954,5.008,5.241
COG,CASS,680186.3299765725,723021.2954245807,744542.2585660891,785324.33673743,842374.5663957166,287799.758361892,288406.61936019605,288613.87985702057,292247.10172888177,291092.16997211357,2.363,2.507,2.58,2.687,2.894
COL,CASS,265836.9392040972,250320.49271682117,237735.17805435992,223115.29058852897,206908.2269040893,340085.9233778592,324808.90205046604,336239.7859002585,350152.9771105,344740.88905408327,0.7817,0.7707,0.707,0.6372,0.6002
CRI,CASS,54694.78429044298,53252.21803998223,52590.66673268882,50307.78057858521,48222.28683291158,45933.002418961274,46410.42220854935,50869.92057438481,48520.5062030415,49360.090422092006,1.191,1.147,1.034,1.037,0.9769
CUB,CASS,42466.89696062913,43524.830806273865,42403.73239492919,43551.655101701814,42692.98854338423,187070.84620693163,190044.43754144726,205160.91041135148,215605.02153796772,209425.68878509896,0.227,0.229,0.2067,0.202,0.2039
DMA,CASS,153.01586826527148,143.08321595225635,133.07927078515857,123.28710289749024,113.90541748271323,128.57487662022064,124.9532778471615,128.00646425673602,127.1782062413727,126.83851759950329,1.19,1.145,1.04,0.9694,0.898
DOM,CASS,15822.944143276609,14910.75018912461,13888.11921131572,13383.130935333227,12331.854874538483,60596.21799779423,60739.96245330373,63715.04501011096,87695.18203245813,80108.8888723335,0.2611,0.2455,0.218,0.1526,0.1539
ECU,CASS,28388.46780701507,28650.226927888063,30545.837708919244,30996.682146140753,33109.00659980278,18466.488741380294,27496.12770628988,41676.327174914804,34095.05656758784,36487.3408923832,1.537,1.042,0.7329,0.9091,0.9074
ETH,CASS,130.34662719934806,121.83640650998632,113.32629066868104,104.82374588560074,96.31324178489933,222.50091701555132,234.12298658377216,249.73523446564096,258.156164044489,252.57662212285862,0.5858,0.5204,0.4538,0.406,0.3813
FJI,CASS,1509.2658598226446,1471.6863537435834,1424.8526289180322,1580.4323796314573,1766.2643097274763,10123.593457790465,12137.956201888746,13214.184734102357,15055.018468460321,14113.128497752623,0.1491,0.1212,0.10780000000000001,0.105,0.1252
GAB,CASS,127200.94604078332,122376.27966556905,122831.89526525704,118362.64301003693,116844.59507482959,11615.564223348892,11662.380361090756,11740.286600847181,11813.086242262565,11775.595874641018,10.95,10.49,10.46,10.02,9.923
