GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AGO,COWP,1036.4689074258135,977.246089237743,894.7107440291353,817.0927989614528,900.3147689645416,7.584216874932142,8.146737465358722,7.428497267998648,7.089036363628275,7.294506608312641,136.7,120,120.4,115.3,123.4
BDI,COWP,12.50711059791974,12.205972441497375,11.62441742675724,10.20111358204756,13.072371258824958,48.09138166916665,56.09903999485235,49.701998918829545,50.986400125046686,51.01478168764399,0.2601,0.2176,0.2339,0.2001,0.2562
BEN,COWP,1355.636677222678,1562.2268842053386,1685.5209237246556,1676.1606797412155,1686.493310389195,331.35091975527035,249.33899465364448,353.48386730859056,340.7753098307791,339.1828683361638,4.091,6.265,4.768,4.919,4.972
BFA,COWP,119171.78197438618,112505.16161337859,103762.01857870603,96887.86922625553,93759.84048172366,88544.16412204262,57352.86984453841,104224.4831414594,92001.4755304399,94292.37830018972,1.346,1.962,0.9956,1.053,0.9944
BGD,COWP,19.261548213932457,16.636289008163384,14.044647219408384,11.509081701712647,9.044490738819976,0.6352482371580683,0.6239347078268619,0.631679854070149,0.6620557443551038,0.6505653984050006,30.32,26.66,22.23,17.38,13.9
BGR,COWP,0.1051318895371352,0.0962712541945468,0.09024095005203896,0.08421064590953115,0.07818034176702332,0.9354454084889863,0.9465017429960658,0.9429268275271572,0.9393513124414306,0.9421106782830778,0.1124,0.1017,0.0957,0.08965,0.08298
BIH,COWP,7.348404467957392,6.276249026593258,5.255092641489295,4.300954975588545,3.293104164627276,7.202692690941757,7.248543876444268,7.268283465895786,7.23983822721031,7.24941567696251,1.02,0.8659,0.723,0.5941,0.4543
BOL,COWP,1.8394436134701253,2.2030956055113746,2.9064129025532837,2.8191210494352044,2.6850305753866928,0.18397350547252894,0.28692431824905723,0.20571130379169017,0.3574682825392387,0.3185029803650916,9.998,7.678,14.13,7.886,8.43
BRA,COWP,1.27118195265966,0.9154099112173552,0.6290065847118219,0.4301492466005892,0.33057989513813624,0.11282637950394525,0.11488738388586746,0.11383743825734105,0.11278749262881464,0.11330044939866216,11.27,7.968,5.525,3.814,2.918
BWA,COWP,0,0,0,0,0,4.475183683182286e-4,5.388293691420047e-4,3.5217348735588645e-4,2.4669717154219835e-4,3.094153370038154e-4,0,0,0,0,0
CAF,COWP,1096.413681379033,1219.4098337959826,1287.6244230835027,1372.2906813662896,1586.4849237343085,62.856971642568034,63.54068774946818,63.76847130938578,64.14657318936985,63.945667059862416,17.44,19.19,20.19,21.39,24.81
CHN,COWP,3397.080812778551,3290.518530268774,3245.6773275671626,3260.3059240680554,3360.080707129847,860.996600727887,871.2188880063325,851.0944219880366,861.1033249873288,858.2817916436918,3.946,3.777,3.814,3.786,3.915
CIV,COWP,3967.2248948270635,3935.2816515189584,3972.751844437137,4091.6225874821525,4279.937711774116,818.7082819040149,601.9378374249694,928.8076390562925,834.6902106327641,853.6650214568015,4.846,6.538,4.277,4.902,5.014
CMR,COWP,1136218.6482153826,1256537.7053904624,1345628.2067494714,1505654.9980757586,1601219.3388739787,23874.835312052444,23969.1225072172,23826.264467913803,23891.524783613135,23878.07606707775,47.59,52.42,56.48,63.02,67.06
COD,COWP,3068149.684879886,3075687.1870254665,3066346.4129971047,3086996.3102894505,3135826.7657943624,45746.718555255065,46912.17550953593,48107.41622025372,49333.292527262376,48634.37731116244,67.07,65.56,63.74,62.57,64.48
