GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,MAIZ,110.69075707945788,96.27903441461069,83.77116096591402,87.8615979371709,85.50124553443153,824.352407574519,900.4579227246362,950.4430620889248,1074.9187467871204,1041.5553935290507,0.1343,0.1069,0.08814,0.08174,0.08209
AGO,MAIZ,2069029.1237957436,2250383.425695429,2362090.5195547757,2482260.279819363,2618320.303885867,408023.49920757394,407813.28519123857,424239.22243788425,441399.3855701029,432904.4177196811,5.071,5.518,5.568,5.624,6.048
ALB,MAIZ,191.39220557388163,182.2774696408458,169.31237419115428,154.64492289489382,143.28452152074368,4468.765052818878,4637.346644199962,4495.397412747718,4580.047408269565,4568.95915138236,0.04283,0.03931,0.03766,0.03376,0.03136
ARE,MAIZ,0,0,0,0,0,0.13020290947506793,0.11498181633127919,0.10570827126288419,0.1066866217446617,0.10778579033489497,0,0,0,0,0
ARG,MAIZ,3704636.2234086352,3695033.5901836087,3647620.330364276,3637618.057447164,3550269.6640952304,11583279.96765462,11998316.90871381,11711517.88919647,8233843.605511636,9377118.768261984,0.3198,0.308,0.3115,0.4418,0.3786
ARM,MAIZ,6.047233045972921,5.045841535070738,4.122841406795072,3.435206231114235,2.9080144697458734,98.12035064116499,96.77468252863824,88.03677890073108,98.2642179623087,94.7295832871267,0.06163,0.05214,0.04683,0.03496,0.0307
ATG,MAIZ,14.179613019880149,11.851690044224028,9.662373344746033,7.568737786796099,5.66775720462329,4.613323517118219,4.4485619629354245,4.70959984697202,4.590495109008555,4.62250814664768,3.074,2.664,2.052,1.649,1.226
AUS,MAIZ,25483.05933552496,26523.254816817673,25851.439032571157,25586.5177239533,24621.68512729602,22832.00848574944,26083.710435323672,36694.847336611536,32982.86484952333,34150.95297887021,1.116,1.017,0.7045,0.7758,0.721
AUT,MAIZ,1349.514378395948,1307.7340755165076,1226.6919240710524,1233.230238119272,1139.550654198058,10632.16214529312,10695.068898646761,9232.106926527855,9250.733726550303,9338.538624418503,0.1269,0.1223,0.1329,0.1333,0.122
AZE,MAIZ,254.06514193877837,214.92682343822392,191.56382328972677,168.43779468851596,164.41672504863013,7268.581137094132,6453.839695689052,6230.926662047781,6632.965094510021,6476.377202411667,0.03495,0.0333,0.03074,0.02539,0.02539
BDI,MAIZ,51306.629013038306,58210.197612959,61154.56456878711,65425.80207011195,71483.1436985924,67058.14649043613,99348.9331858055,168916.17794570758,95932.7153620176,127337.6657291892,0.7651,0.5859,0.362,0.682,0.5614
BEL,MAIZ,1029.2733014823596,1243.452812715571,1247.729845656333,1199.6952629527393,1137.2075751148534,10050.927130753527,10730.945070971118,11918.29633081681,12321.849665744945,12051.109664978314,0.1024,0.1159,0.1047,0.09736,0.09437
BEN,MAIZ,796021.444846825,833205.6027714054,857954.3367774779,881552.1157106899,896888.0078551598,345514.67692353873,349375.79234208254,347841.95475807134,440365.1275123261,411208.6859802918,2.304,2.385,2.467,2.002,2.181
BFA,MAIZ,102484.24169981283,97352.85693501415,90754.66998530786,85822.22695669893,84734.172397168,347249.5972623558,335570.3984330714,328315.37888171454,360595.40308303526,351389.0760145756,0.2951,0.2901,0.2764,0.238,0.2411
BGD,MAIZ,17790.628769695806,18701.827268037137,18935.53141559516,19593.12804149265,20249.60638242025,80395.90758942823,82487.10516445787,85430.49630627157,92112.20541598117,89845.72280035145,0.2213,0.2267,0.2216,0.2127,0.2254
BGR,MAIZ,2650.760117109383,2791.2825542685487,2934.9460233952004,3613.367959607199,3703.0967442953197,30554.074099557776,35054.599927272,25760.283397021652,24928.401147023145,25904.121011030762,0.08676,0.07963,0.1139,0.1449,0.143
BHS,MAIZ,0.07243824792822497,0.06664318809396697,0.06084812825970898,0.05505306842545098,0.04925800859119298,2.7546579657102357,2.7123413289535434,2.727539869694429,2.7315278249908714,2.7258443978852473,0.0263,0.02457,0.02231,0.02015,0.01807
BIH,MAIZ,1993.5781515763983,1839.2407549484462,1695.0228828739575,1540.3086472163209,1451.8276322507456,18630.603829567997,12348.257708716817,12856.375779105902,9880.353166912813,11201.872132958042,0.107,0.1489,0.1318,0.1559,0.1296
