GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AGO,OILP,15778.86219566656,16532.08510891929,15795.964747742995,17076.52257977758,17179.976189641697,73296.79454098384,73099.39064390617,73171.15367646428,73242.47379602127,73188.72105907298,0.2153,0.2262,0.2159,0.2332,0.2347
BDI,OILP,8452.174462539877,10060.67776290297,11026.161555550347,12019.523774759675,13606.345463641015,48807.00354797788,48106.835520519504,48055.534727851154,48004.686970496245,48047.18006043901,0.1732,0.2091,0.2294,0.2504,0.2832
BEN,OILP,40835.80267532581,42133.05708623643,45797.89275187945,48782.90559374534,48484.03983318162,479248.80657545733,514065.53726508183,536816.6212505782,523648.02573502244,526706.0768705735,0.08521,0.08196,0.08531,0.09316,0.09205
BLZ,OILP,275.66770386503896,239.0483184703218,203.80107320910656,170.45889844449664,141.48365391498606,44.27993983387812,46.658149707111825,48.22768175851989,48.09863734284924,47.79687401453747,6.226,5.123,4.226,3.544,2.96
BOL,OILP,419.77423704426957,512.2167571946236,662.9067789627983,640.974926766465,760.8105715525021,77.14031436239877,113.08278556134202,129.1795704827406,130.5963769674206,125.6555446490383,5.442,4.53,5.132,4.908,6.055
BRA,OILP,9615890.447442275,9986066.365743892,10452565.201035531,10744230.227910241,11243713.71882644,2126893.6396709373,2141489.940471088,2188828.8117436394,2149449.6467288444,2165784.101927684,4.521,4.663,4.775,4.999,5.192
BRN,OILP,13738.433559755023,12242.499770863404,11288.388739490998,9853.875889257972,8680.277129187281,29609.254158929034,27906.748203836676,28951.274913031193,28993.440534948753,28725.892033371245,0.464,0.4387,0.3899,0.3399,0.3022
CAF,OILP,30725.56313995009,36227.77455437001,37131.761895455136,44465.14342040355,45209.756314528335,4950.268342738585,4897.911486403209,4883.876033795168,4924.103948925696,4907.724556225998,6.207,7.397,7.603,9.03,9.212
CHN,OILP,117156.59327006314,121030.29012019747,123850.42963332754,127649.14304852886,133411.8503567786,363864.6659048605,363552.2105816399,363631.2152068664,363710.2252720588,363649.79584933113,0.322,0.3329,0.3406,0.351,0.3669
CIV,OILP,5377372.303891074,5558790.400983354,5691099.446917564,5878328.280618194,5958430.1144684,2259614.3054058664,2259705.2794153118,2259738.971426801,2259687.765259143,2259706.1234023604,2.38,2.46,2.518,2.601,2.637
CMR,OILP,297963.8214824697,264880.868727638,237235.73422733703,211166.12231339334,188487.32290365128,706213.8420296106,676754.5743608872,667006.5415623293,677977.952465507,674507.9466315743,0.4219,0.3914,0.3557,0.3115,0.2794
COD,OILP,14174748.074912298,14708159.057840273,15108382.82590207,15671881.932360591,16259332.556338362,1737402.489248628,1745693.1076422017,1782669.9505714881,1813120.4411583315,1794822.685217124,8.159,8.425,8.475,8.644,9.059
COG,OILP,337225.64753296826,359503.20440772397,369080.8819210191,393487.751685799,414764.7502252555,90951.88010098354,90386.66507479116,90779.46653764944,91153.2340296436,90980.98115771949,3.708,3.977,4.066,4.317,4.559
COL,OILP,4594933.909792141,4857209.791070546,5107670.416258066,5293078.686506064,5504974.112538955,5417146.187626338,5954293.249490038,6058862.390601915,6279684.770654732,6129600.910284013,0.8482,0.8157,0.843,0.8429,0.8981
CRI,OILP,742936.4093150945,742356.9585661895,748328.8372811965,746601.8758476798,728666.09597224975,961721.3349854511,981210.0764082011,1036196.4379435921,1029433.8923879083,1028189.8541732264,0.7725,0.7566,0.7222,0.7253,0.7087
DOM,OILP,61777.834670557924,61466.0282847667,60499.45008565408,63227.48770761545,62664.086942346534,227578.12463062484,238004.72564437875,248397.91126366518,258834.5384550405,252953.3455656532,0.2715,0.2583,0.2436,0.2443,0.2477
ECU,OILP,2425099.2402851577,2384699.135372806,2478941.2715503103,2473219.339429105,2564182.99782966,2021270.3409021096,1998922.6454685088,1897958.2330955593,1694554.0156203478,1761625.6412667432,1.2,1.193,1.306,1.46,1.456
