GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AGO,PLNT,490.8644496668382,481.2356873319298,467.40381399895773,560.6979441568961,540.6704986018939,73.97553123056261,74.16000216410036,74.21250231831625,74.32640876652898,74.25953414261818,6.635,6.489,6.298,7.544,7.281
ARG,PLNT,28.125775205367223,24.435905661645972,20.746036117924724,17.056166574203477,13.366297030482228,0.09701628865786978,0.09701628865786978,0.09701628865786978,0.09701628865786978,0.09701628865786978,289.9,251.9,213.8,175.8,137.8
BDI,PLNT,4929.895579826448,6038.936348635796,6576.309887878749,7469.226064520859,8661.228137931505,125255.00467497534,125726.55281764359,125951.91404722456,126404.55343953523,126163.80375364021,0.03936,0.04803,0.05221,0.05909,0.06865
BEN,PLNT,37.118600115139934,33.25701553221768,30.29459503768132,26.832400899606835,22.890958101913526,682.3567647438257,682.3567647438257,682.3567647438257,682.3567647438257,682.3567647438257,0.0544,0.04874,0.0444,0.03932,0.03355
BFA,PLNT,51.863794086216,54.298870623515725,55.989296251912705,62.07645794406376,86.98018455841871,423.5891762611334,423.5891762611334,423.5891762611334,423.5891762611334,423.5891762611334,0.1224,0.1282,0.1322,0.1465,0.2053
BGD,PLNT,13822.778889888426,15289.955512204635,16095.890179769855,17367.442443382984,18111.141884688004,10204.575558628418,10927.224188239305,11208.046840930769,11344.815016559114,11193.689594524209,1.355,1.399,1.436,1.531,1.618
BHS,PLNT,0.02284964867534613,0.02102167678131844,0.01919370488729075,0.01736573299326306,0.01553776109923536,0.7583968985674772,0.7575404367960854,0.7587083392116197,0.7598373115466363,0.7593637530705188,0.03013,0.02775,0.0253,0.02285,0.02046
BLZ,PLNT,12749.779477961514,13310.256494586836,14589.851709528159,18981.37628653039,22014.244687684513,4984.738612249046,5053.7827666574085,3806.8256952022502,4313.070180868656,4143.298888674014,2.558,2.634,3.833,4.401,5.313
BOL,PLNT,840945.884400663,842650.4362367031,856415.9195742203,868514.2882126978,877213.9895486716,281476.5846591672,281476.5846591672,281476.5846591672,281476.5846591672,281476.5846591672,2.988,2.994,3.043,3.086,3.116
BRA,PLNT,30238.85979449923,30879.417727573848,31341.373210617632,29421.474311843434,28863.697004125366,6505.401426134902,6507.461310703295,6522.9456553040545,6526.863931209959,6523.78368900388,4.648,4.745,4.805,4.508,4.424
CAF,PLNT,45555.73809862357,48847.38418774361,49711.017825172814,50717.36280953981,52305.905984165176,6583.728150700805,6779.4932308163725,6981.014008582906,7188.709847634676,7077.94537204297,6.919,7.205,7.121,7.055,7.39
