GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,REST,159.6356586551148,128.2535431173563,102.80929726229327,93.15642146499087,83.83301267166986,1758.4254484228213,1758.4254484228213,1758.4254484228213,1758.4254484228213,1758.4254484228213,0.09078,0.07294,0.05847,0.05298,0.04768
AGO,REST,142687.0867441396,147149.43876381166,144040.3735332868,143109.98721387624,143392.1144871532,281979.31319719524,281979.31319719524,281979.31319719524,281979.31319719524,281979.31319719524,0.506,0.5218,0.5108,0.5075,0.5085
ALB,REST,467.24883672201815,405.2921429878604,349.0545510427957,290.88359521669014,235.24812972324625,6460.581987373007,6460.581987373007,6460.581987373007,6460.581987373007,6460.581987373007,0.07232,0.06273,0.05403,0.04502,0.03641
ARE,REST,0,0,0,0,0,9.55531812825309,9.55531812825309,9.55531812825309,9.55531812825309,9.55531812825309,0,0,0,0,0
ARG,REST,2983231.4464646652,3022866.4147071713,2982750.9064727644,2892306.169588108,2836338.593144199,1572289.1797024675,1572289.1797024675,1572289.1797024675,1572289.1797024675,1572289.1797024675,1.897,1.923,1.897,1.84,1.804
ARM,REST,187.75211368307055,160.52850575011442,133.5500893461006,114.23239243219813,86.99155278099612,1097.3300054554911,1097.3300054554911,1097.3300054554911,1097.3300054554911,1097.3300054554911,0.1711,0.1463,0.1217,0.1041,0.07928
ATG,REST,0,0,0,0,0,214.67868773673288,214.67868773673288,214.67868773673288,214.67868773673288,214.67868773673288,0,0,0,0,0
AUS,REST,430383.0676978677,440871.0456441712,443972.71009653405,447956.3917695071,443504.39840165863,212189.2809398742,212189.2809398742,212189.2809398742,212189.2809398742,212189.2809398742,2.028,2.078,2.092,2.111,2.09
AUT,REST,56.696115632517305,47.91097363594404,39.60841791476858,31.94326265206798,25.239803953963733,1006.9145842268598,1006.9145842268598,1006.9145842268598,1006.9145842268598,1006.9145842268598,0.05631,0.04758,0.03934,0.03172,0.02507
AZE,REST,1755.1688157903995,1574.5789278738607,1397.8504308611484,1865.4777888388026,2186.7706604256387,28344.404343667724,28344.404343667724,28344.404343667724,28344.404343667724,28344.404343667724,0.06192,0.05555,0.04932,0.06581,0.07715
BDI,REST,227.8524101496644,253.3729467462626,266.1863204395615,306.0407599201838,321.124151860022,547.7884863033462,547.7884863033462,547.7884863033462,547.7884863033462,547.7884863033462,0.4159,0.4625,0.4859,0.5587,0.5862
BEL,REST,6.503008087935787,4.011266693978994,2.405354320895919,1.3766384005234211,0.5896737024276452,10098.84991216354,10098.84991216354,10098.84991216354,10098.84991216354,10098.84991216354,6.439e-4,3.972e-4,2.382e-4,1.363e-4,5.839e-5
BEN,REST,1748093.1588008816,1817393.4328598585,2197298.095405099,2536618.273827483,2826103.7459701705,383936.73717325204,383936.73717325204,383936.73717325204,383936.73717325204,383936.73717325204,4.553,4.734,5.723,6.607,7.361
BFA,REST,242508.5773846363,215320.3089020395,188245.83583717037,163625.85132692073,142176.0234153973,99451.25981921173,99451.25981921173,99451.25981921173,99451.25981921173,99451.25981921173,2.438,2.165,1.893,1.645,1.43
BGD,REST,4153616.558947052,4537873.739297727,4732012.973757543,5024852.037154552,5202084.229119559,240299.48659557238,240299.48659557238,240299.48659557238,240299.48659557238,240299.48659557238,17.29,18.88,19.69,20.91,21.65
BGR,REST,488.80386678586785,398.60922657565396,325.7773592826202,258.5278087168909,199.2788695905623,2445.644587406223,2445.644587406223,2445.644587406223,2445.644587406223,2445.644587406223,0.1999,0.163,0.1332,0.1057,0.08148
BHR,REST,0,0,0,0,0,28.643839419946858,28.643839419946858,28.643839419946858,28.643839419946858,28.643839419946858,0,0,0,0,0
BHS,REST,0,0,0,0,0,149.55368071414526,149.55368071414526,149.55368071414526,149.55368071414526,149.55368071414526,0,0,0,0,0
BIH,REST,312.40649504468286,297.79641572316706,286.6138972942676,273.19340950980177,346.1602052000081,1716.4392807698423,1716.4392807698423,1716.4392807698423,1716.4392807698423,1716.4392807698423,0.182,0.1735,0.167,0.1592,0.2017
BLR,REST,458.05714129840896,444.80264326779684,430.7721111559272,412.2250505790978,393.7807984127351,4510.695026936857,4510.695026936857,4510.695026936857,4510.695026936857,4510.695026936857,0.1015,0.09861,0.0955,0.09139,0.0873
BLZ,REST,37147.72535805169,35537.42070617386,34124.076021907546,33236.92211078024,42057.532054737196,60448.51313908704,60448.51313908704,60448.51313908704,60448.51313908704,60448.51313908704,0.6145,0.5879,0.5645,0.5498,0.6958
BOL,REST,2371271.409907252,2305769.2846112987,2376729.281157948,2381653.7066612905,2358146.3293509674,295701.50885609817,295701.50885609817,295701.50885609817,295701.50885609817,295701.50885609817,8.019,7.798,8.038,8.054,7.975
BRA,REST,29526391.17742775,28050645.408257116,27306504.607906364,26915716.157381825,26030955.473498516,11360927.042273203,11360927.042273203,11360927.042273203,11360927.042273203,11360927.042273203,2.599,2.469,2.404,2.369,2.291
BRB,REST,0,0,0,0,0,317.6046476811944,317.6046476811944,317.6046476811944,317.6046476811944,317.6046476811944,0,0,0,0,0
BRN,REST,81004.32267529171,71844.78025421905,63997.876024601515,55284.17282491584,48323.15295852159,850.0985497786788,850.0985497786788,850.0985497786788,850.0985497786788,850.0985497786788,95.29,84.51,75.28,65.03,56.84
BTN,REST,6036.966342312767,6793.9758312395825,7252.286193679097,7611.591169453255,7562.644807312455,1195.343006466885,1195.343006466885,1195.343006466885,1195.343006466885,1195.343006466885,5.05,5.684,6.067,6.368,6.327
BWA,REST,2.1107005150926232,1.9196438643744895,1.7285872136563556,3.5849122045600788,3.8831681924491663,322.26394460064733,322.26394460064733,322.26394460064733,322.26394460064733,322.26394460064733,0.00655,0.005957,0.005364,0.01112,0.01205
CAF,REST,227841.96110281334,265458.8887648354,279428.3283775297,297142.46553420153,307413.2492125211,5186.098560153303,5186.098560153303,5186.098560153303,5186.098560153303,5186.098560153303,43.93,51.19,53.88,57.3,59.28
CAN,REST,22303.790031562163,20278.25614433371,18178.883958586124,15867.943731750938,13551.317503853386,62369.05008414994,62369.05008414994,62369.05008414994,62369.05008414994,62369.05008414994,0.3576,0.3251,0.2915,0.2544,0.2173
CHE,REST,44.763130451704164,39.959456707281724,35.34309864076369,32.063161834850625,28.109702432343017,653.8830998665973,653.8830998665973,653.8830998665973,653.8830998665973,653.8830998665973,0.06846,0.06111,0.05405,0.04904,0.04299
CHL,REST,206338.48706381995,211753.19726544226,215121.90683422575,214537.78720871132,209804.75277025203,909864.9111234032,909864.9111234032,909864.9111234032,909864.9111234032,909864.9111234032,0.2268,0.2327,0.2364,0.2358,0.2306
CHN,REST,8089038.615110492,8413645.312324952,8846415.35284243,9323971.83349707,10011114.862884976,12949928.03666639,12949928.03666639,12949928.03666639,12949928.03666639,12949928.03666639,0.6246,0.6497,0.6831,0.72,0.7731
CIV,REST,19089923.87098546,18098086.120628983,17117349.479425427,16442184.572966952,15601226.785978366,1702050.1755615745,1702050.1755615745,1702050.1755615745,1702050.1755615745,1702050.1755615745,11.22,10.63,10.06,9.66,9.166
CMR,REST,12687731.309136646,13997841.149229633,15088369.697215876,16676883.285693686,17995415.670418013,313236.0867665996,313236.0867665996,313236.0867665996,313236.0867665996,313236.0867665996,40.51,44.69,48.17,53.24,57.45
COD,REST,13467481.258911548,14157710.856597763,14694933.036040151,15352975.496365119,16031289.366870679,122632.29481901538,122632.29481901538,122632.29481901538,122632.29481901538,122632.29481901538,109.8,115.4,119.8,125.2,130.7
COG,REST,217242.37157391442,225329.41577380602,231337.50877732257,241100.9447354741,255211.90302373646,11778.723022262788,11778.723022262788,11778.723022262788,11778.723022262788,11778.723022262788,18.44,19.13,19.64,20.47,21.67
COL,REST,3470310.7050314313,3716277.223003116,4043996.2012942377,4205680.129780965,4323186.867238766,2060764.8173064296,2060764.8173064296,2060764.8173064296,2060764.8173064296,2060764.8173064296,1.684,1.803,1.962,2.041,2.098
