GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,SUGC,0.11010210299475794,0.03529801574043184,7.410966695910279e-4,5.714731510671553e-5,0.309783651271521,39.216716814677525,40.328239960770084,56.83562398680331,54.505513293505935,54.65647604569967,0.002808,8.753e-4,1.304e-5,1.048e-6,0.005668
AGO,SUGC,136513.08892389512,143839.64342276732,146158.35710398742,155641.04370968268,167894.49603374457,540257.7946323173,625792.2079379443,632658.3597800537,632937.9701039473,631222.2411091921,0.2527,0.2299,0.231,0.2459,0.266
ARE,SUGC,0,0,0,0,0,0.008025425070548996,0.008552749000517867,0.00900607851133628,0.009034916538756453,0.008940635432278401,0,0,0,0,0
ARG,SUGC,1333394.0322330561,1342691.5523584967,1357052.658553692,1338108.9719711128,1310090.0270083742,3747701.700826565,3540118.0357370907,3319940.7931239307,3307254.074735563,3341750.3379635937,0.3558,0.3793,0.4088,0.4046,0.392
AUS,SUGC,70362.93537346357,65350.45441803953,62526.36925371102,60950.945367939115,61691.84917929136,6085088.643402858,6255891.9299840545,5760739.569700405,6548437.751658118,6319792.8305390375,0.01156,0.01045,0.01085,0.009308,0.009762
BDI,SUGC,776.4593707355714,791.8702698053565,789.3742626938891,879.6779599525285,863.1590447880193,87531.80739617723,72993.51443800011,85573.14317403529,89603.2589627524,85772.77836065032,0.008871,0.01085,0.009225,0.009817,0.01006
BEN,SUGC,4928.718475996442,4887.933716776969,4646.591514182007,6351.8090654178795,6102.165647671754,53798.65821242785,53858.256984890126,53857.33277859618,57641.1838023374,56560.39288153432,0.09161,0.09076,0.08628,0.1102,0.1079
BFA,SUGC,2078.157732173,2022.6692478040927,2063.4020728847718,2093.3126760449995,2205.025722562022,373417.74428637273,373011.5336055624,374412.80306010175,375974.8228713989,375399.62450570223,0.005565,0.005423,0.005511,0.005568,0.005874
BGD,SUGC,6137.406876341914,5666.389140027668,5182.537151451694,4862.269877741751,4518.883329031457,58101.311722918945,52729.164556357435,48992.5036685072,47474.806453622485,49279.93515715968,0.1056,0.1075,0.1058,0.1024,0.0917
BHS,SUGC,2.236348593757281,2.0574407062566986,1.8785328187561163,1.6996249312555336,1.520717043754951,211.45782755971558,209.99434404047935,211.21501045096642,212.43571060948818,211.83675831018903,0.01058,0.009798,0.0088940000000000009,0.008001,0.007179
BLZ,SUGC,364465.2889192488,353347.1549654993,344672.91352878074,357426.20222667453,360455.6558011869,1303686.2869476932,1596464.5697653375,1523180.6480250182,1266449.0727171798,1381739.3339997155,0.2796,0.2213,0.2263,0.2822,0.2609
BOL,SUGC,1932363.7444943644,1899347.2985021155,1957223.3883980731,1925939.5571871288,1870805.9956906268,8033396.268454654,8032989.609129854,8033072.68532868,8033633.061136221,8033423.732290048,0.2405,0.2364,0.2436,0.2397,0.2329
BRA,SUGC,10725827.38347264,10947173.616006153,11268398.694151556,11464850.976854242,11265018.199509798,284462950.25549316,269267271.64393795,273169840.9995175,294438518.61286104,286446367.4677093,0.03771,0.04066,0.04125,0.03894,0.03933
BRB,SUGC,46.7039887998831,31.670116634205304,19.974647805482462,10.266696871148417,3.545463462178592,20210.166512756416,20373.848920677483,21219.93278759471,16109.499365804766,17666.207894508298,0.002311,0.001554,9.413e-4,6.373e-4,2.007e-4
BRN,SUGC,4.097305352705778,2.4859819140842,1.4115485299666393,0.6670729700769534,0.17848776544920095,0.6306297961632832,0.6861772872449757,0.6711973088135225,0.45498909323070824,0.5328595389567707,6.497,3.623,2.103,1.466,0.335
BTN,SUGC,819.6771674370808,722.0833820625711,621.313566191789,524.29708499745675,437.61376347451574,176.68012285924956,159.66107740790056,162.33061850057712,172.62624176766928,168.91062837124812,4.639,4.523,3.827,3.037,2.591
