GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,VEGE,28.455003429803238,18.52088333083473,12.139493375383543,9.142297645675832,12.23047820361873,2601.098681168608,2601.098681168608,2601.098681168608,2601.098681168608,2601.098681168608,0.01094,0.00712,0.004667,0.003515,0.004702
AGO,VEGE,633756.600520684,641916.6413117202,644440.9069878237,652849.9899673822,671104.2857120768,133481.0856975277,133481.0856975277,133481.0856975277,133481.0856975277,133481.0856975277,4.748,4.809,4.828,4.891,5.028
ALB,VEGE,136.11913355756997,118.83795328122733,103.61668494259813,89.47130211221855,77.43372397281301,5893.391267191228,5893.391267191228,5893.391267191228,5893.391267191228,5893.391267191228,0.0231,0.02016,0.01758,0.01518,0.01314
ARE,VEGE,0,0,0,0,0,26.56233084977065,26.56233084977065,26.56233084977065,26.56233084977065,26.56233084977065,0,0,0,0,0
ARG,VEGE,258896.18932733213,237848.5416128024,218230.7126015311,199602.22092838277,180140.20998990224,585976.5641927614,585976.5641927614,585976.5641927614,585976.5641927614,585976.5641927614,0.4418,0.4059,0.3724,0.3406,0.3074
ARM,VEGE,28.069011922890176,22.725936409602507,17.97026504871108,14.825729168665655,12.223491850782008,1785.970530075176,1785.970530075176,1785.970530075176,1785.970530075176,1785.970530075176,0.01572,0.01272,0.01006,0.008301,0.006844
ATG,VEGE,308.93474805162913,314.88103054919674,299.61627657130833,276.5995698985792,272.1165687809241,231.88694419967612,231.88694419967612,231.88694419967612,231.88694419967612,231.88694419967612,1.332,1.358,1.292,1.193,1.173
AUS,VEGE,38598.453140058664,33613.070450973915,30659.595694013453,27679.22714530467,24960.493370256445,140524.24527336724,140524.24527336724,140524.24527336724,140524.24527336724,140524.24527336724,0.2747,0.2392,0.2182,0.197,0.1776
AUT,VEGE,144.2012294039216,134.2029796669397,123.29952612041794,117.42867654133688,106.88460447481643,1719.8229639080448,1719.8229639080448,1719.8229639080448,1719.8229639080448,1719.8229639080448,0.08385,0.07803,0.07169,0.06828,0.06215
AZE,VEGE,1117.746380012321,951.6408738873685,765.444188472534,672.6404738031742,592.905202869037,14746.376713976233,14746.376713976233,14746.376713976233,14746.376713976233,14746.376713976233,0.0758,0.06453,0.05191,0.04561,0.04021
BDI,VEGE,47994.27367311437,54067.777502987505,56555.99439526723,60932.77740823405,66453.42879280428,260964.82211823118,260964.82211823118,260964.82211823118,260964.82211823118,260964.82211823118,0.1839,0.2072,0.2167,0.2335,0.2546
BEL,VEGE,489.16992563743247,433.46530135328817,401.1560068073441,366.4517163702767,351.612205486607,34531.17515334024,34531.17515334024,34531.17515334024,34531.17515334024,34531.17515334024,0.01417,0.01255,0.01162,0.01061,0.01018
BEN,VEGE,117690.5557440539,125351.92534154211,131138.46715383726,137325.91335125512,139120.53645509883,216425.6653686304,216425.6653686304,216425.6653686304,216425.6653686304,216425.6653686304,0.5438,0.5792,0.6059,0.6345,0.6428
BFA,VEGE,9038.99086011074,9434.082974377052,9560.977402208919,10083.611830037027,11097.888589737886,224586.389697311,224586.389697311,224586.389697311,224586.389697311,224586.389697311,0.04025,0.04201,0.04257,0.0449,0.04941
BGD,VEGE,92217.3059631739,86703.1006757361,81551.21703325339,78518.54167751435,74836.55538537924,176716.36522395734,176716.36522395734,176716.36522395734,176716.36522395734,176716.36522395734,0.5218,0.4906,0.4615,0.4443,0.4235
BGR,VEGE,74.83555783763832,60.78672167813442,49.80490504456532,40.89650070921254,35.93336214720489,3594.703755531364,3594.703755531364,3594.703755531364,3594.703755531364,3594.703755531364,0.02082,0.01691,0.01386,0.01138,0.009996
BHR,VEGE,0,0,0,0,0,38.728870133395596,38.728870133395596,38.728870133395596,38.728870133395596,38.728870133395596,0,0,0,0,0
BHS,VEGE,3.1488760525578066,2.8969659683531823,2.6450558841485576,2.393145799943933,2.1412357157393087,97.77486169223783,97.77486169223783,97.77486169223783,97.77486169223783,97.77486169223783,0.03221,0.02963,0.02705,0.02448,0.0219
BIH,VEGE,1331.0445815736655,1288.2104898918622,1259.593908185322,1233.0873912052234,1228.7917404937386,10067.37344274362,10067.37344274362,10067.37344274362,10067.37344274362,10067.37344274362,0.1322,0.128,0.1251,0.1225,0.1221
BLR,VEGE,1310.1050303997242,1305.3052094233121,1223.676132213677,1147.3231176795384,1062.9045518468097,15537.380989183064,15537.380989183064,15537.380989183064,15537.380989183064,15537.380989183064,0.08432,0.08401,0.07876,0.07384,0.06841
BLZ,VEGE,23402.410050196642,22852.688311561025,22168.518199862552,22907.322265704326,25048.69297748804,5771.207773357029,5771.207773357029,5771.207773357029,5771.207773357029,5771.207773357029,4.055,3.96,3.841,3.969,4.34
BOL,VEGE,424943.1716037559,411307.57869058294,416171.07768423273,395266.66639227344,380766.0390329442,89318.93179046543,89318.93179046543,89318.93179046543,89318.93179046543,89318.93179046543,4.758,4.605,4.659,4.425,4.263
BRA,VEGE,1899528.7633907013,1901862.8975461593,1912700.2199897456,1912827.9452067125,1870459.1615652181,1293567.3937469972,1293567.3937469972,1293567.3937469972,1293567.3937469972,1293567.3937469972,1.468,1.47,1.479,1.479,1.446
BRB,VEGE,40.2491366339633,52.85138931682707,47.9619957171527,44.638872843712555,40.23336980090109,2255.435816011025,2255.435816011025,2255.435816011025,2255.435816011025,2255.435816011025,0.01785,0.02343,0.02127,0.01979,0.01784
BRN,VEGE,15601.838075302185,14486.589817351094,13640.146439166305,12989.696776626712,12354.113879002765,5895.743430106335,5895.743430106335,5895.743430106335,5895.743430106335,5895.743430106335,2.646,2.457,2.314,2.203,2.095
BTN,VEGE,2124.6189679660456,2442.7555090590186,2545.6291328635566,2702.1476677605774,2691.5052339072636,1538.7597662668688,1538.7597662668688,1538.7597662668688,1538.7597662668688,1538.7597662668688,1.381,1.587,1.654,1.756,1.749
BWA,VEGE,222.79309712582258,241.72700645696185,236.47114150497168,229.5684805243053,244.77721873784958,753.4273890875697,753.4273890875697,753.4273890875697,753.4273890875697,753.4273890875697,0.2957,0.3208,0.3139,0.3047,0.3249
CAF,VEGE,250896.51376947708,287134.0826579962,299926.47341532214,333776.615605249,349206.1857847216,54486.23186523224,54486.23186523224,54486.23186523224,54486.23186523224,54486.23186523224,4.605,5.27,5.505,6.126,6.409
