GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,WHEA,210.25557096851924,170.9036421608049,135.67031103236408,138.45624871196594,117.2310012586048,23029.701521678722,17936.216775720604,16983.751266216448,19172.833127081867,18258.936670438365,0.00913,0.009528,0.007988,0.007221,0.00642
AGO,WHEA,57487.75491898742,69029.39591476574,70026.40985016816,69474.13594941364,70975.79267470153,2030.771244243332,4286.994482748165,3745.366279949011,9569.280289527718,7822.192966362959,28.31,16.1,18.7,7.26,9.074
ALA,WHEA,280.1232020778662,272.23257140346874,276.699529500027,269.1521784807034,250.1704679378264,66.47052659549664,66.52280308665851,81.72945351574681,72.51233365737212,76.16222857535831,4.214,4.092,3.386,3.712,3.285
ALB,WHEA,816.1862305315567,827.1351941635656,812.1488393530219,784.0409226672974,772.8034655166954,4381.082100635008,4231.900751388054,4379.005638521443,4392.814590730446,4364.796776773286,0.1863,0.1955,0.1855,0.1785,0.1771
ARG,WHEA,1316833.2869236355,1214350.0081212088,1104494.7512193772,1010100.8348426038,921911.5493477632,2827486.185134575,2525655.9666012228,3171233.775185075,1800703.3255380567,2197184.3383964454,0.4657,0.4808,0.3483,0.5609,0.4196
ARM,WHEA,125.77933715612579,104.37022978753976,86.69465736535966,76.76983836352868,65.19646892402015,729.449528460701,627.7570153918587,747.8191637493084,863.8560363889414,814.7744928241065,0.1724,0.1663,0.1159,0.08887,0.08002
AUS,WHEA,166946.03276121744,152744.55579494307,137736.90191413945,122778.6107963512,109662.81248275311,940042.197412459,2072382.4480917063,2352503.1903093536,2674632.167105347,2410749.4442946054,0.1776,0.0737,0.05855,0.0459,0.04549
AUT,WHEA,5526.52605675791,5408.150007718408,5284.822040031673,5247.697340686912,5053.237743890603,8582.974275379845,8061.528775590195,8866.918730237758,9061.015950949262,8918.786237435583,0.6439,0.6709,0.596,0.5792,0.5666
AZE,WHEA,1616.9149750218216,1309.2782975384619,1063.8038198565068,1112.0426519716873,1074.6305334774918,28631.0614618543,28916.821199762366,26642.986748946605,28225.942112878307,27560.78622522058,0.05647,0.04528,0.03993,0.0394,0.03899
BDI,WHEA,764.522213270099,828.8095619126818,843.1762090641704,848.8092433115011,884.6424103602528,556.6224254115452,1267.0901269620558,1110.1062941228206,1085.6055686596508,1133.1106503747105,1.374,0.6541,0.7595,0.7819,0.7807
BEL,WHEA,2820.9234750271908,2722.3789311636765,2658.8603349146583,2479.7892211706803,2443.7046555039647,47825.83297859812,44853.254313403566,50857.5602000338,49186.1530762876,49736.04504423295,0.05898,0.0607,0.05228,0.05042,0.04913
BEN,WHEA,0.7135774323328635,0.9169822726457841,3.241433907578077,4.275725389801952,4.168859962736283,1.049755917356829,0.8759925298950036,0.854075788716558,1.0263790484728612,0.9469336925471045,0.6798,1.047,3.795,4.166,4.402
BFA,WHEA,1.234121211421541,1.159293826200248,1.203256003034552,1.6043106358060633,2.00502990464447,10.033570083273563,5.704937344841916,9.071694069276464,10.402613440504274,9.262328182490066,0.123,0.2032,0.1326,0.1542,0.2165
BGD,WHEA,5563.272698799219,4895.635709744451,4251.508393762371,3769.4227974500523,3213.6113446678287,18385.89619560204,19391.69878086205,19399.40693043953,19781.266501877108,19580.3430440123,0.3026,0.2525,0.2192,0.1906,0.1641
BGR,WHEA,4050.8826133747175,3866.6885398313084,4320.069194586172,4461.673770708238,4629.785546953034,77773.5750097643,117747.22068175298,103353.81543043736,109930.9154768356,109225.41058998411,0.05209,0.03284,0.0418,0.04059,0.04239
