GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AGO,PLNT,1.8075234299552771,1.6237204438888884,1.4298189398883192,1.2862424288205865,1.1269633268806156,73.97553123056261,74.16000216410036,74.21250231831625,74.32640876652898,74.25953414261818,0.02443,0.02189,0.01927,0.01731,0.01518
ARG,PLNT,0.1725997765754316,0.14988818117544894,0.12717658577546628,0.1044649903754836,0.08175339497550092,0.09701628865786978,0.09701628865786978,0.09701628865786978,0.09701628865786978,0.09701628865786978,1.779,1.545,1.311,1.077,0.8427
BDI,PLNT,11.091302054697513,11.145668117082547,10.633563388812064,9.922152001843573,8.900416630509708,125255.00467497534,125726.55281764359,125951.91404722456,126404.55343953523,126163.80375364021,8.855e-5,8.865e-5,8.443e-5,7.85e-5,7.055e-5
BEN,PLNT,0.06571578808429923,0.05739696196987927,0.04938678283707117,0.04102864929128446,0.03254801905318993,682.3567647438257,682.3567647438257,682.3567647438257,682.3567647438257,682.3567647438257,9.631e-5,8.412e-5,7.238e-5,6.013e-5,4.77e-5
BFA,PLNT,0.12870877576666104,0.12387406918600767,0.11692378413355714,0.10973026936932424,0.10003590067313603,423.5891762611334,423.5891762611334,423.5891762611334,423.5891762611334,423.5891762611334,3.039e-4,2.924e-4,2.76e-4,2.59e-4,2.362e-4
BGD,PLNT,34.27335172657141,34.53402372050764,33.5190893378494,32.256381689591926,29.9641299395839,10204.575558628418,10927.224188239305,11208.046840930769,11344.815016559114,11193.689594524209,0.003359,0.00316,0.002991,0.002843,0.002677
BHS,PLNT,7.841933436689701e-5,7.214578761754526e-5,6.58722408681935e-5,5.959869411884173e-5,5.332514736948997e-5,0.7583968985674772,0.7575404367960854,0.7587083392116197,0.7598373115466363,0.7593637530705188,1.034e-4,9.524e-5,8.682e-5,7.844e-5,7.022e-5
BLZ,PLNT,58.90506298532751,58.21703375814196,56.957455322460845,71.32800819084846,85.76804084233979,4984.738612249046,5053.7827666574085,3806.8256952022502,4313.070180868656,4143.298888674014,0.01182,0.01152,0.01496,0.01654,0.0207
BOL,PLNT,2546.4913655078904,2354.989798467906,2175.851811177734,2137.651523318055,2062.0750980636776,281476.5846591672,281476.5846591672,281476.5846591672,281476.5846591672,281476.5846591672,0.009047,0.008367,0.00773,0.007594,0.007326
BRA,PLNT,59.516734938746424,59.90587067237853,53.85739879811262,47.46259408597085,47.67705726228313,6505.401426134902,6507.461310703295,6522.9456553040545,6526.863931209959,6523.78368900388,0.009149,0.009206,0.008257,0.007272,0.007308
CAF,PLNT,135.1244391834113,132.08330878108802,123.3724118605389,116.551079713226,106.19320163901659,6583.728150700805,6779.4932308163725,6981.014008582906,7188.709847634676,7077.94537204297,0.02052,0.01948,0.01767,0.01621,0.015
CHN,PLNT,5.6455828322983805,5.213686078835594,4.667409577932847,4.332902206390777,3.7765369732307765,1216.0661892053406,1038.9539737160153,1212.1129693353512,1247.1632331459818,1216.3729858636086,0.004642,0.005018,0.003851,0.003474,0.003105
CIV,PLNT,1956.0347844652129,1684.3791342456152,1456.3932790277145,1267.1403781324343,1087.9296499589673,1669350.4903861617,1669479.7361045466,1669352.543821196,1669437.5171312483,1669413.244281146,0.001172,0.001009,8.724e-4,7.59e-4,6.517e-4
CMR,PLNT,890.2176668085712,716.0886386213172,567.5042085669483,437.1086355106376,323.25185372819766,183545.27664926587,187968.56770685108,188864.0582828384,188204.2030267051,188394.12559603853,0.00485,0.00381,0.003005,0.002323,0.001716
COD,PLNT,7076.57771043724,6922.868957834312,6631.577161801488,6292.820345236734,5883.288829499849,421927.50402370247,423402.8557759134,423748.36624841124,424709.0265971035,424152.209979442,0.01677,0.01635,0.01565,0.01482,0.01387
COG,PLNT,415.8171568498586,396.19105776016823,369.00911551338487,342.7627643805958,331.9642096828292,43756.154675822814,43804.69099825148,43838.87098263716,43873.27728126745,43852.13860292024,0.009503,0.009044,0.008417,0.007813,0.00757
COL,PLNT,9547.09292930692,8560.201449461996,7745.654057760172,6911.403376167911,6140.370970619851,1772854.1638862162,1797666.7157768817,1909862.223656042,1995069.90504301,1946009.9778058745,0.005385,0.004762,0.004056,0.003464,0.003155
CRI,PLNT,425.2675695709983,391.0712652881451,358.56490919663514,322.4517066440341,287.4712773330118,69966.03163224774,59950.36847371125,60488.12278279261,65813.6922079075,62974.721919239986,0.006078,0.006523,0.005928,0.004899,0.004565
CUB,PLNT,580.9307968640167,531.3228724856591,470.0348499307027,431.1063743316239,380.09190557350803,306356.07873119466,318824.81353969517,346632.54404666997,360177.4894565962,351225.33798971045,0.001896,0.001667,0.001356,0.001197,0.001082
DMA,PLNT,3.350455497502015,3.084548695977904,2.815045403129416,2.5556892611787227,2.3190335922507104,616.3670751594403,613.2614838519606,614.7540661705874,616.2459400970363,615.1495142973106,0.005436,0.00503,0.004579,0.004147,0.00377
DOM,PLNT,979.6426581766553,879.2667252704015,772.6555158392797,704.1711733520855,612.3872744683068,853609.7352253787,794966.2994396226,850910.2377845168,986414.4290687096,936996.6395183922,0.001148,0.001106,9.08e-4,7.139e-4,6.536e-4
ECU,PLNT,4514.521279990328,4149.323049156251,3887.6953429095406,3556.6116681428443,3338.2124775688712,548549.6828452981,579765.434604454,651171.2464308616,638356.8856753929,639945.3589352313,0.00823,0.007157,0.00597,0.005572,0.005216
ETH,PLNT,1.3484466694401006e-7,9.631761924572149e-8,5.7790571547432884e-8,1.9263523849144296e-8,0,0.01395093263447384,0.013848375017478444,0.013936972996877583,0.014025570976276719,0.013980917594659612,9.666e-6,6.955e-6,4.147e-6,1.373e-6,0
FJI,PLNT,3.0967459670964503,3.815127779903195,3.639814465813958,3.5244887223702834,3.2677250435347562,728.8390328194789,1073.035301761958,1231.4438533322825,1517.8130587086723,1379.2504998898833,0.004249,0.003555,0.002956,0.002322,0.002369
GAB,PLNT,1482.3510802941375,1325.002936262767,1182.3849119318984,1032.177605950437,889.8144770085306,94203.82482104057,95090.25781664156,95766.31124414153,96442.36466560751,96012.62003829722,0.01574,0.01393,0.01235,0.0107,0.009268
GHA,PLNT,2892.012404021394,2698.694598150186,2504.3727204296674,2298.9407418709357,2057.948127544005,2796024.186338861,2827759.0671502757,2784044.746365009,2802609.331183639,2799388.757935802,0.001034,9.544e-4,8.995e-4,8.203e-4,7.351e-4
GIN,PLNT,529.741032736974,522.4772386215311,500.64863203395,473.50801618750177,434.7629885672728,52185.89643337243,56155.96207252955,60128.38635002968,64048.26457878882,61647.52303280052,0.01015,0.009304,0.008326,0.007393,0.007052
GNB,PLNT,113.50337251462312,100.2906522447706,86.89043322731561,73.48175313159605,59.876355652990064,30539.827193807298,30721.650427973753,30781.353223674094,30680.968177522816,30717.899049890093,0.003717,0.003264,0.002823,0.002395,0.001949
